onset	duration	trial_type	response_time	choice	self_value_c	self_value1	self_value2	stim_1	valence_1	setting_1	genre_1	stim_2	valence_2	setting_2	genre_2
254.683	0.000	self	2.290	1	-0.200	-0.200	-0.022	1	positive	historical	romance	24	negative	historical	action
263.867	0.000	self	1.338	2	0.022	0.200	0.022	29	negative	futuristic	action	12	positive	futuristic	romance
272.533	0.000	self	1.334	2	0.149	-0.200	0.149	4	positive	historical	romance	19	negative	historical	romance
282.033	0.000	self	1.367	1	-0.022	-0.022	-0.149	24	negative	historical	action	15	positive	futuristic	action
289.767	0.000	self	2.479	1	0.200	0.200	-0.371	30	negative	futuristic	action	5	positive	historical	action
297.167	0.000	self	1.273	1	0.022	0.022	-0.200	12	positive	futuristic	romance	4	positive	historical	romance
305.017	0.000	self	1.095	2	0.200	-0.149	0.200	15	positive	futuristic	action	29	negative	futuristic	action
312.867	0.000	self	1.470	2	0.200	0.371	0.200	27	negative	futuristic	romance	29	negative	futuristic	action
320.200	0.000	self	1.954	2	0.022	0.149	0.022	17	negative	historical	romance	11	positive	futuristic	romance
328.100	0.000	self	1.873	1	-0.149	-0.149	-0.022	16	positive	futuristic	action	21	negative	historical	action
336.067	0.000	self	1.471	1	0.200	0.200	-0.371	29	negative	futuristic	action	5	positive	historical	action
343.417	0.000	self	1.374	2	-0.022	0.200	-0.022	30	negative	futuristic	action	24	negative	historical	action
350.867	0.000	self	1.540	2	-0.371	-0.149	-0.371	15	positive	futuristic	action	8	positive	historical	action
359.667	0.000	self	1.347	2	0.371	0.149	0.371	19	negative	historical	romance	25	negative	futuristic	romance
366.683	0.000	self	1.021	2	0.022	-0.149	0.022	16	positive	futuristic	action	12	positive	futuristic	romance
373.683	0.000	self	1.883	1	-0.200	-0.200	0.200	1	positive	historical	romance	30	negative	futuristic	action
383.000	0.000	self	1.468	1	0.022	0.022	-0.149	11	positive	futuristic	romance	16	positive	futuristic	action
392.333	0.000	self	1.261	1	-0.200	-0.200	0.022	4	positive	historical	romance	11	positive	futuristic	romance
401.217	0.000	self	1.396	2	-0.200	-0.149	-0.200	16	positive	futuristic	action	4	positive	historical	romance
409.117	0.000	self	1.393	2	0.149	0.371	0.149	27	negative	futuristic	romance	19	negative	historical	romance
417.867	0.000	self	1.680	1	0.022	0.022	-0.200	11	positive	futuristic	romance	1	positive	historical	romance
425.800	0.000	self	1.984	1	0.200	0.200	0.149	29	negative	futuristic	action	19	negative	historical	romance
435.500	0.000	self	1.553	2	-0.022	-0.149	-0.022	16	positive	futuristic	action	24	negative	historical	action
443.800	0.000	self	1.498	2	0.022	-0.371	0.022	8	positive	historical	action	12	positive	futuristic	romance
451.983	0.000	self	1.163	2	0.200	-0.371	0.200	8	positive	historical	action	29	negative	futuristic	action
459.600	0.000	self	1.594	2	-0.200	0.149	-0.200	17	negative	historical	romance	4	positive	historical	romance
469.117	0.000	self	1.828	2	-0.200	0.371	-0.200	27	negative	futuristic	romance	1	positive	historical	romance
