onset	duration	trial_type	response_time	choice	self_value_c	self_value1	self_value2	stim_1	valence_1	setting_1	genre_1	stim_2	valence_2	setting_2	genre_2
4.017	0.000	self	1.786	2	0.149	-0.371	0.149	5	positive	historical	action	19	negative	historical	romance
13.450	0.000	self	2.194	1	-0.371	-0.371	-0.200	8	positive	historical	action	1	positive	historical	romance
21.033	0.000	self	1.816	2	0.149	0.371	0.149	27	negative	futuristic	romance	17	negative	historical	romance
30.683	0.000	self	2.146	2	0.149	-0.022	0.149	24	negative	historical	action	19	negative	historical	romance
39.600	0.000	self	1.226	1	0.149	0.149	-0.149	19	negative	historical	romance	15	positive	futuristic	action
48.183	0.000	self	1.029	1	0.371	0.371	-0.149	25	negative	futuristic	romance	15	positive	futuristic	action
57.450	0.000	self	2.000	2	-0.022	-0.200	-0.022	4	positive	historical	romance	21	negative	historical	action
64.500	0.000	self	1.955	2	-0.200	-0.149	-0.200	16	positive	futuristic	action	1	positive	historical	romance
74.100	0.000	self	1.605	1	0.200	0.200	-0.200	29	negative	futuristic	action	4	positive	historical	romance
83.417	0.000	self	2.976	2	-0.022	-0.371	-0.022	8	positive	historical	action	24	negative	historical	action
93.083	0.000	self	1.505	1	0.022	0.022	-0.149	11	positive	futuristic	romance	15	positive	futuristic	action
101.150	0.000	self	1.557	1	-0.022	-0.022	-0.371	21	negative	historical	action	5	positive	historical	action
109.383	0.000	self	1.832	2	0.149	0.022	0.149	11	positive	futuristic	romance	19	negative	historical	romance
118.650	0.000	self	1.203	2	0.022	0.371	0.022	27	negative	futuristic	romance	11	positive	futuristic	romance
127.983	0.000	self	2.066	1	-0.149	-0.149	0.371	16	positive	futuristic	action	27	negative	futuristic	romance
137.883	0.000	self	1.598	1	0.371	0.371	-0.371	27	negative	futuristic	romance	5	positive	historical	action
145.683	0.000	self	1.386	1	0.200	0.200	0.149	29	negative	futuristic	action	17	negative	historical	romance
153.567	0.000	self	1.500	1	0.022	0.022	0.200	11	positive	futuristic	romance	30	negative	futuristic	action
160.967	0.000	self	1.715	1	-0.149	-0.149	-0.371	16	positive	futuristic	action	5	positive	historical	action
168.183	0.000	self	1.152	1	0.149	0.149	-0.149	19	negative	historical	romance	16	positive	futuristic	action
178.117	0.000	self	2.170	2	-0.200	-0.022	-0.200	21	negative	historical	action	1	positive	historical	romance
185.533	0.000	self	1.751	2	-0.200	-0.022	-0.200	24	negative	historical	action	4	positive	historical	romance
193.517	0.000	self	1.702	2	-0.022	0.200	-0.022	30	negative	futuristic	action	21	negative	historical	action
203.417	0.000	self	1.213	1	-0.200	-0.200	0.200	4	positive	historical	romance	30	negative	futuristic	action
210.500	0.000	self	1.207	1	0.371	0.371	-0.022	25	negative	futuristic	romance	24	negative	historical	action
217.867	0.000	self	1.354	1	0.371	0.371	0.200	25	negative	futuristic	romance	30	negative	futuristic	action
227.833	0.000	self	1.119	1	0.149	0.149	0.200	19	negative	historical	romance	30	negative	futuristic	action
237.083	0.000	self	1.722	1	-0.022	-0.022	0.371	21	negative	historical	action	27	negative	futuristic	romance
246.867	0.000	self	1.818	2	0.200	0.022	0.200	11	positive	futuristic	romance	29	negative	futuristic	action
