onset	duration	trial_type	response_time	choice	self_value_c	self_value1	self_value2	stim_1	valence_1	setting_1	genre_1	stim_2	valence_2	setting_2	genre_2
4.017	0.000	self	1.675	2	-0.148	0.425	-0.148	15	positive	futuristic	action	31	negative	futuristic	action
11.650	0.000	self	1.803	2	0.425	-0.425	0.425	20	negative	historical	romance	15	positive	futuristic	action
20.067	0.000	self	1.381	1	0.148	0.148	0.425	2	positive	historical	romance	15	positive	futuristic	action
27.267	0.000	self	1.988	1	0.425	0.425	0.148	13	positive	futuristic	action	27	negative	futuristic	romance
35.150	0.000	self	1.731	1	0.148	0.148	-0.425	1	positive	historical	romance	18	negative	historical	romance
42.533	0.000	self	1.624	1	0.148	0.148	-0.148	28	negative	futuristic	romance	29	negative	futuristic	action
50.350	0.000	self	1.458	1	0.721	0.721	-0.148	10	positive	futuristic	romance	6	positive	historical	action
57.450	0.000	self	1.570	2	-0.148	-0.425	-0.148	20	negative	historical	romance	6	positive	historical	action
65.400	0.000	self	1.457	1	0.148	0.148	-0.425	2	positive	historical	romance	18	negative	historical	romance
72.983	0.000	self	1.470	2	0.721	0.425	0.721	13	positive	futuristic	action	10	positive	futuristic	romance
81.683	0.000	self	1.537	1	0.425	0.425	-0.148	13	positive	futuristic	action	31	negative	futuristic	action
90.883	0.000	self	2.034	1	-0.425	-0.425	-0.148	18	negative	historical	romance	29	negative	futuristic	action
100.850	0.000	self	1.691	1	-0.148	-0.148	-0.148	6	positive	historical	action	29	negative	futuristic	action
108.350	0.000	self	1.651	1	0.721	0.721	0.148	9	positive	futuristic	romance	1	positive	historical	romance
118.183	0.000	self	1.129	1	0.721	0.721	0.425	10	positive	futuristic	romance	15	positive	futuristic	action
126.650	0.000	self	1.615	2	0.148	-0.425	0.148	18	negative	historical	romance	27	negative	futuristic	romance
135.067	0.000	self	1.656	2	0.721	0.148	0.721	28	negative	futuristic	romance	9	positive	futuristic	romance
143.967	0.000	self	1.356	2	0.148	-0.721	0.148	24	negative	historical	action	2	positive	historical	romance
151.567	0.000	self	1.106	1	0.721	0.721	-0.425	9	positive	futuristic	romance	18	negative	historical	romance
158.700	0.000	self	1.547	1	0.148	0.148	0.148	1	positive	historical	romance	27	negative	futuristic	romance
167.683	0.000	self	1.240	2	0.425	-0.148	0.425	29	negative	futuristic	action	13	positive	futuristic	action
177.450	0.000	self	0.930	1	0.148	0.148	-0.425	28	negative	futuristic	romance	18	negative	historical	romance
187.383	0.000	self	1.869	2	0.148	0.721	0.148	9	positive	futuristic	romance	2	positive	historical	romance
195.683	0.000	self	1.291	2	0.425	-0.148	0.425	29	negative	futuristic	action	15	positive	futuristic	action
204.683	0.000	self	1.449	1	0.148	0.148	-0.721	2	positive	historical	romance	21	negative	historical	action
214.533	0.000	self	1.104	2	0.148	-0.425	0.148	20	negative	historical	romance	28	negative	futuristic	romance
221.750	0.000	self	1.875	1	-0.148	-0.148	-0.425	29	negative	futuristic	action	20	negative	historical	romance
229.917	0.000	self	1.257	1	0.148	0.148	-0.148	28	negative	futuristic	romance	6	positive	historical	action
238.483	0.000	self	1.589	2	-0.148	-0.425	-0.148	18	negative	historical	romance	31	negative	futuristic	action
247.400	0.000	self	1.152	1	-0.148	-0.148	-0.721	31	negative	futuristic	action	24	negative	historical	action
256.500	0.000	self	1.154	1	0.721	0.721	-0.148	9	positive	futuristic	romance	29	negative	futuristic	action
266.317	0.000	self	1.419	1	-0.148	-0.148	-0.425	31	negative	futuristic	action	20	negative	historical	romance
273.467	0.000	self	1.496	1	-0.148	-0.148	-0.721	6	positive	historical	action	21	negative	historical	action
280.817	0.000	self	1.658	1	-0.148	-0.148	-0.425	5	positive	historical	action	20	negative	historical	romance
289.450	0.000	self	1.475	1	0.148	0.148	-0.148	27	negative	futuristic	romance	29	negative	futuristic	action
297.333	0.000	self	1.302	2	0.148	-0.721	0.148	21	negative	historical	action	28	negative	futuristic	romance
304.483	0.000	self	1.937	2	-0.148	0.148	-0.148	27	negative	futuristic	romance	5	positive	historical	action
311.717	0.000	self	1.002	1	0.148	0.148	-0.148	2	positive	historical	romance	31	negative	futuristic	action
320.817	0.000	self	1.417	1	-0.148	-0.148	-0.148	6	positive	historical	action	31	negative	futuristic	action
328.517	0.000	self	1.212	1	0.148	0.148	-0.721	28	negative	futuristic	romance	24	negative	historical	action
337.500	0.000	self	1.327	2	0.721	-0.148	0.721	29	negative	futuristic	action	10	positive	futuristic	romance
345.750	0.000	self	1.241	1	0.425	0.425	-0.425	13	positive	futuristic	action	20	negative	historical	romance
