onset	duration	trial_type	response_time	choice	self_value_c	self_value1	self_value2	stim_1	valence_1	setting_1	genre_1	stim_2	valence_2	setting_2	genre_2
354.517	0.000	self	1.059	1	0.721	0.721	-0.425	9	positive	futuristic	romance	20	negative	historical	romance
364.433	0.000	self	0.925	1	-0.148	-0.148	-0.148	31	negative	futuristic	action	5	positive	historical	action
374.250	0.000	self	1.319	1	0.425	0.425	0.148	15	positive	futuristic	action	27	negative	futuristic	romance
383.817	0.000	self	1.426	2	0.148	-0.721	0.148	24	negative	historical	action	27	negative	futuristic	romance
391.483	0.000	self	1.297	1	0.148	0.148	-0.721	27	negative	futuristic	romance	21	negative	historical	action
401.367	0.000	self	0.878	1	0.148	0.148	0.148	28	negative	futuristic	romance	1	positive	historical	romance
408.700	0.000	self	1.495	2	0.148	-0.148	0.148	5	positive	historical	action	2	positive	historical	romance
417.933	0.000	self	1.263	1	0.425	0.425	-0.148	13	positive	futuristic	action	5	positive	historical	action
425.217	0.000	self	1.943	2	-0.148	-0.425	-0.148	18	negative	historical	romance	6	positive	historical	action
432.733	0.000	self	1.198	1	0.425	0.425	-0.148	13	positive	futuristic	action	6	positive	historical	action
440.167	0.000	self	1.389	2	-0.148	-0.721	-0.148	24	negative	historical	action	5	positive	historical	action
447.250	0.000	self	1.021	2	0.425	-0.425	0.425	18	negative	historical	romance	15	positive	futuristic	action
454.700	0.000	self	1.228	1	0.425	0.425	0.721	15	positive	futuristic	action	9	positive	futuristic	romance
461.833	0.000	self	1.836	1	-0.425	-0.425	-0.721	18	negative	historical	romance	21	negative	historical	action
