onset	duration	trial_type	response_time	choice	self_value_c	self_value1	self_value2	stim_1	valence_1	setting_1	genre_1	stim_2	valence_2	setting_2	genre_2
4.017	0.000	self	2.137	1	-0.269	-0.269	-0.548	6	positive	historical	action	19	negative	historical	romance
11.600	0.000	self	0.966	2	0.015	-0.269	0.015	8	positive	historical	action	3	positive	historical	romance
19.200	0.000	self	2.754	2	-0.548	0.269	-0.548	27	negative	futuristic	romance	17	negative	historical	romance
28.300	0.000	self	0.929	2	-0.548	-0.831	-0.548	24	negative	historical	action	19	negative	historical	romance
36.833	0.000	self	0.798	2	0.548	-0.548	0.548	19	negative	historical	romance	13	positive	futuristic	action
46.600	0.000	self	1.714	1	0.269	0.269	0.548	26	negative	futuristic	romance	13	positive	futuristic	action
55.800	0.000	self	1.146	1	0.015	0.015	-0.831	4	positive	historical	romance	21	negative	historical	action
63.433	0.000	self	1.326	1	0.548	0.548	0.015	16	positive	futuristic	action	3	positive	historical	romance
71.867	0.000	self	0.922	2	0.015	-0.015	0.015	30	negative	futuristic	action	4	positive	historical	romance
79.050	0.000	self	0.831	1	-0.269	-0.269	-0.831	8	positive	historical	action	24	negative	historical	action
86.950	0.000	self	1.065	2	0.548	0.831	0.548	9	positive	futuristic	romance	13	positive	futuristic	action
94.317	0.000	self	1.424	2	-0.269	-0.831	-0.269	21	negative	historical	action	6	positive	historical	action
102.150	0.000	self	1.121	1	0.831	0.831	-0.548	9	positive	futuristic	romance	19	negative	historical	romance
109.233	0.000	self	1.081	1	0.269	0.269	0.831	27	negative	futuristic	romance	9	positive	futuristic	romance
117.183	0.000	self	1.009	1	0.548	0.548	0.269	16	positive	futuristic	action	27	negative	futuristic	romance
124.767	0.000	self	2.194	1	0.269	0.269	-0.269	27	negative	futuristic	romance	6	positive	historical	action
133.467	0.000	self	2.174	2	-0.548	-0.015	-0.548	30	negative	futuristic	action	17	negative	historical	romance
142.667	0.000	self	0.797	2	-0.015	0.831	-0.015	9	positive	futuristic	romance	31	negative	futuristic	action
152.650	0.000	self	0.989	1	0.548	0.548	-0.269	16	positive	futuristic	action	6	positive	historical	action
160.133	0.000	self	1.408	2	0.548	-0.548	0.548	19	negative	historical	romance	16	positive	futuristic	action
169.967	0.000	self	1.030	2	0.015	-0.831	0.015	21	negative	historical	action	3	positive	historical	romance
178.433	0.000	self	0.815	2	0.015	-0.831	0.015	24	negative	historical	action	4	positive	historical	romance
186.867	0.000	self	0.916	1	-0.015	-0.015	-0.831	31	negative	futuristic	action	21	negative	historical	action
195.767	0.000	self	0.728	1	0.015	0.015	-0.015	4	positive	historical	romance	31	negative	futuristic	action
203.350	0.000	self	0.853	1	0.269	0.269	-0.831	26	negative	futuristic	romance	24	negative	historical	action
210.500	0.000	self	1.461	1	0.269	0.269	-0.015	26	negative	futuristic	romance	31	negative	futuristic	action
219.467	0.000	self	0.831	2	-0.015	-0.548	-0.015	19	negative	historical	romance	31	negative	futuristic	action
229.250	0.000	self	1.427	2	0.269	-0.831	0.269	21	negative	historical	action	27	negative	futuristic	romance
239.167	0.000	self	1.984	1	0.831	0.831	-0.015	9	positive	futuristic	romance	30	negative	futuristic	action
247.483	0.000	self	0.847	1	0.015	0.015	-0.831	3	positive	historical	romance	24	negative	historical	action
256.467	0.000	self	0.771	2	0.831	-0.015	0.831	30	negative	futuristic	action	11	positive	futuristic	romance
266.317	0.000	self	0.912	1	0.015	0.015	-0.548	4	positive	historical	romance	19	negative	historical	romance
273.550	0.000	self	1.033	2	0.548	-0.831	0.548	24	negative	historical	action	13	positive	futuristic	action
281.700	0.000	self	0.843	1	-0.015	-0.015	-0.269	31	negative	futuristic	action	6	positive	historical	action
290.267	0.000	self	1.090	1	0.831	0.831	0.015	11	positive	futuristic	romance	4	positive	historical	romance
299.183	0.000	self	0.901	1	0.548	0.548	-0.015	13	positive	futuristic	action	30	negative	futuristic	action
308.283	0.000	self	1.184	1	0.269	0.269	-0.015	27	negative	futuristic	romance	30	negative	futuristic	action
318.100	0.000	self	1.994	2	0.831	-0.548	0.831	17	negative	historical	romance	9	positive	futuristic	romance
325.250	0.000	self	1.129	1	0.548	0.548	-0.831	16	positive	futuristic	action	21	negative	historical	action
332.600	0.000	self	1.920	2	-0.269	-0.015	-0.269	30	negative	futuristic	action	6	positive	historical	action
341.250	0.000	self	0.825	1	-0.015	-0.015	-0.831	31	negative	futuristic	action	24	negative	historical	action
349.117	0.000	self	1.338	1	0.548	0.548	-0.269	13	positive	futuristic	action	8	positive	historical	action
356.267	0.000	self	0.801	2	0.269	-0.548	0.269	19	negative	historical	romance	26	negative	futuristic	romance
363.500	0.000	self	0.855	2	0.831	0.548	0.831	16	positive	futuristic	action	11	positive	futuristic	romance
372.600	0.000	self	0.859	2	-0.015	0.015	-0.015	3	positive	historical	romance	31	negative	futuristic	action
380.300	0.000	self	1.123	2	0.548	0.831	0.548	9	positive	futuristic	romance	16	positive	futuristic	action
389.283	0.000	self	0.739	1	0.015	0.015	0.831	4	positive	historical	romance	9	positive	futuristic	romance
397.533	0.000	self	0.940	2	0.015	0.548	0.015	16	positive	futuristic	action	4	positive	historical	romance
406.300	0.000	self	1.162	1	0.269	0.269	-0.548	27	negative	futuristic	romance	19	negative	historical	romance
416.233	0.000	self	1.053	2	0.015	0.831	0.015	9	positive	futuristic	romance	3	positive	historical	romance
426.033	0.000	self	1.907	2	-0.548	-0.015	-0.548	30	negative	futuristic	action	19	negative	historical	romance
435.617	0.000	self	0.710	1	0.548	0.548	-0.831	16	positive	futuristic	action	24	negative	historical	action
443.267	0.000	self	0.740	2	0.831	-0.269	0.831	8	positive	historical	action	11	positive	futuristic	romance
453.150	0.000	self	1.088	1	-0.269	-0.269	-0.015	8	positive	historical	action	30	negative	futuristic	action
460.483	0.000	self	1.011	2	0.015	-0.548	0.015	17	negative	historical	romance	4	positive	historical	romance
469.717	0.000	self	1.613	2	0.015	0.269	0.015	27	negative	futuristic	romance	3	positive	historical	romance
