onset	duration	trial_type	response_time	choice	self_value_c	self_value1	self_value2	stim_1	valence_1	setting_1	genre_1	stim_2	valence_2	setting_2	genre_2
4.017	0.000	self	2.065	2	-0.325	0.119	-0.325	5	positive	historical	action	20	negative	historical	romance
12.483	0.000	self	1.148	1	0.119	0.119	-0.718	8	positive	historical	action	2	positive	historical	romance
21.467	0.000	self	1.551	1	-0.119	-0.119	-0.325	28	negative	futuristic	romance	19	negative	historical	romance
28.733	0.000	self	2.063	1	0.512	0.512	-0.325	24	negative	historical	action	20	negative	historical	romance
36.250	0.000	self	1.466	2	0.325	-0.325	0.325	20	negative	historical	romance	13	positive	futuristic	action
46.200	0.000	self	1.209	2	0.325	-0.119	0.325	26	negative	futuristic	romance	13	positive	futuristic	action
53.500	0.000	self	0.859	2	0.512	-0.718	0.512	4	positive	historical	romance	23	negative	historical	action
63.117	0.000	self	0.835	1	0.325	0.325	-0.718	16	positive	futuristic	action	2	positive	historical	romance
71.767	0.000	self	1.074	1	0.718	0.718	-0.718	29	negative	futuristic	action	4	positive	historical	romance
80.033	0.000	self	1.729	1	0.119	0.119	0.512	8	positive	historical	action	24	negative	historical	action
89.700	0.000	self	1.292	2	0.325	-0.512	0.325	10	positive	futuristic	romance	13	positive	futuristic	action
97.683	0.000	self	1.429	1	0.512	0.512	0.119	23	negative	historical	action	5	positive	historical	action
106.950	0.000	self	1.512	2	-0.325	-0.512	-0.325	10	positive	futuristic	romance	20	negative	historical	romance
115.717	0.000	self	1.009	1	-0.119	-0.119	-0.512	28	negative	futuristic	romance	10	positive	futuristic	romance
122.917	0.000	self	1.675	1	0.325	0.325	-0.119	16	positive	futuristic	action	28	negative	futuristic	romance
131.350	0.000	self	1.546	2	0.119	-0.119	0.119	28	negative	futuristic	romance	5	positive	historical	action
139.667	0.000	self	0.807	1	0.718	0.718	-0.325	29	negative	futuristic	action	19	negative	historical	romance
147.250	0.000	self	0.876	2	0.718	-0.512	0.718	10	positive	futuristic	romance	31	negative	futuristic	action
156.333	0.000	self	0.827	1	0.325	0.325	0.119	16	positive	futuristic	action	5	positive	historical	action
163.367	0.000	self	1.037	2	0.325	-0.325	0.325	20	negative	historical	romance	16	positive	futuristic	action
172.967	0.000	self	1.003	1	0.512	0.512	-0.718	23	negative	historical	action	2	positive	historical	romance
180.183	0.000	self	1.036	1	0.512	0.512	-0.718	24	negative	historical	action	4	positive	historical	romance
188.533	0.000	self	1.273	1	0.718	0.718	0.512	31	negative	futuristic	action	23	negative	historical	action
197.200	0.000	self	1.680	2	0.718	-0.718	0.718	4	positive	historical	romance	31	negative	futuristic	action
204.300	0.000	self	1.033	2	0.512	-0.119	0.512	26	negative	futuristic	romance	24	negative	historical	action
211.717	0.000	self	0.985	2	0.718	-0.119	0.718	26	negative	futuristic	romance	31	negative	futuristic	action
219.950	0.000	self	1.053	2	0.718	-0.325	0.718	20	negative	historical	romance	31	negative	futuristic	action
229.450	0.000	self	1.516	1	0.512	0.512	-0.119	23	negative	historical	action	28	negative	futuristic	romance
