onset	duration	trial_type	response_time	choice	self_value_c	self_value1	self_value2	stim_1	valence_1	setting_1	genre_1	stim_2	valence_2	setting_2	genre_2
4.017	0.000	self	NaN	NaN	NaN	NaN	NaN	15	positive	futuristic	action	18	negative	historical	romance
12.117	0.000	self	1.106	1	0.681	0.681	-0.681	24	negative	historical	action	12	positive	futuristic	romance
20.267	0.000	self	1.329	2	0.466	-0.681	0.466	10	positive	futuristic	romance	31	negative	futuristic	action
27.850	0.000	self	1.181	2	-0.051	-0.466	-0.051	1	positive	historical	romance	5	positive	historical	action
37.567	0.000	self	1.243	1	0.051	0.051	0.466	25	negative	futuristic	romance	31	negative	futuristic	action
45.717	0.000	self	1.031	2	0.466	0.266	0.466	18	negative	historical	romance	31	negative	futuristic	action
53.017	0.000	self	1.098	1	0.681	0.681	-0.466	24	negative	historical	action	3	positive	historical	romance
62.017	0.000	self	1.105	1	0.466	0.466	-0.466	32	negative	futuristic	action	3	positive	historical	romance
70.467	0.000	self	1.047	2	-0.051	-0.466	-0.051	3	positive	historical	romance	5	positive	historical	action
78.900	0.000	self	1.660	1	0.681	0.681	-0.051	21	negative	historical	action	8	positive	historical	action
87.383	0.000	self	1.379	2	0.266	-0.266	0.266	13	positive	futuristic	action	18	negative	historical	romance
96.033	0.000	self	2.290	2	0.466	-0.266	0.466	13	positive	futuristic	action	31	negative	futuristic	action
103.233	0.000	self	1.638	1	-0.051	-0.051	0.266	8	positive	historical	action	17	negative	historical	romance
112.733	0.000	self	1.455	2	0.681	-0.051	0.681	8	positive	historical	action	24	negative	historical	action
121.267	0.000	self	1.129	2	0.051	-0.266	0.051	13	positive	futuristic	action	25	negative	futuristic	romance
128.450	0.000	self	1.152	2	-0.681	-0.266	-0.681	15	positive	futuristic	action	10	positive	futuristic	romance
136.450	0.000	self	1.321	1	-0.681	-0.681	-0.466	12	positive	futuristic	romance	3	positive	historical	romance
143.800	0.000	self	1.419	2	0.051	-0.051	0.051	5	positive	historical	action	25	negative	futuristic	romance
151.467	0.000	self	2.118	2	-0.266	-0.466	-0.266	1	positive	historical	romance	13	positive	futuristic	action
159.817	0.000	self	1.569	1	0.266	0.266	-0.266	17	negative	historical	romance	13	positive	futuristic	action
168.717	0.000	self	2.355	2	-0.266	0.051	-0.266	26	negative	futuristic	romance	13	positive	futuristic	action
177.100	0.000	self	1.490	1	0.266	0.266	-0.266	17	negative	historical	romance	15	positive	futuristic	action
186.917	0.000	self	1.430	2	-0.681	-0.466	-0.681	3	positive	historical	romance	10	positive	futuristic	romance
195.250	0.000	self	2.176	2	0.051	-0.266	0.051	15	positive	futuristic	action	26	negative	futuristic	romance
202.433	0.000	self	1.131	1	0.466	0.466	-0.266	31	negative	futuristic	action	15	positive	futuristic	action
211.150	0.000	self	0.793	2	-0.051	-0.266	-0.051	15	positive	futuristic	action	8	positive	historical	action
220.917	0.000	self	0.768	2	0.681	0.051	0.681	26	negative	futuristic	romance	21	negative	historical	action
229.633	0.000	self	1.150	2	0.466	-0.266	0.466	13	positive	futuristic	action	32	negative	futuristic	action
236.967	0.000	self	0.804	2	0.681	0.466	0.681	31	negative	futuristic	action	24	negative	historical	action
245.650	0.000	self	1.673	1	0.051	0.051	0.266	26	negative	futuristic	romance	18	negative	historical	romance
254.450	0.000	self	1.432	2	0.266	-0.681	0.266	10	positive	futuristic	romance	17	negative	historical	romance
261.617	0.000	self	1.043	1	0.466	0.466	-0.266	32	negative	futuristic	action	15	positive	futuristic	action
269.483	0.000	self	1.584	1	-0.051	-0.051	-0.681	8	positive	historical	action	10	positive	futuristic	romance
279.150	0.000	self	1.150	2	0.466	-0.466	0.466	1	positive	historical	romance	32	negative	futuristic	action
288.917	0.000	self	1.701	2	0.466	0.266	0.466	17	negative	historical	romance	31	negative	futuristic	action
296.650	0.000	self	0.887	2	0.681	0.266	0.681	17	negative	historical	romance	24	negative	historical	action
303.850	0.000	self	1.384	2	-0.051	-0.266	-0.051	13	positive	futuristic	action	5	positive	historical	action
313.133	0.000	self	1.350	2	0.266	-0.466	0.266	3	positive	historical	romance	18	negative	historical	romance
320.933	0.000	self	0.952	1	-0.051	-0.051	0.266	8	positive	historical	action	18	negative	historical	romance
329.800	0.000	self	0.986	1	0.681	0.681	0.266	24	negative	historical	action	18	negative	historical	romance
339.350	0.000	self	1.794	1	0.681	0.681	0.466	21	negative	historical	action	32	negative	futuristic	action
348.300	0.000	self	2.401	1	0.266	0.266	-0.681	17	negative	historical	romance	12	positive	futuristic	romance
357.217	0.000	self	0.996	2	0.681	-0.681	0.681	10	positive	futuristic	romance	24	negative	historical	action
364.883	0.000	self	1.526	1	-0.051	-0.051	0.051	5	positive	historical	action	26	negative	futuristic	romance
374.633	0.000	self	1.519	2	-0.051	0.266	-0.051	18	negative	historical	romance	5	positive	historical	action
383.067	0.000	self	1.882	2	0.681	0.051	0.681	25	negative	futuristic	romance	24	negative	historical	action
391.417	0.000	self	1.328	2	0.466	-0.681	0.466	12	positive	futuristic	romance	31	negative	futuristic	action
400.433	0.000	self	1.196	2	0.681	0.266	0.681	18	negative	historical	romance	21	negative	historical	action
408.300	0.000	self	1.074	1	0.681	0.681	0.266	21	negative	historical	action	17	negative	historical	romance
415.867	0.000	self	2.422	2	-0.466	-0.266	-0.466	15	positive	futuristic	action	1	positive	historical	romance
424.217	0.000	self	0.918	1	0.051	0.051	-0.466	25	negative	futuristic	romance	1	positive	historical	romance
432.983	0.000	self	1.014	1	0.466	0.466	-0.466	31	negative	futuristic	action	3	positive	historical	romance
441.833	0.000	self	1.379	1	0.051	0.051	-0.466	25	negative	futuristic	romance	3	positive	historical	romance
448.833	0.000	self	1.535	2	-0.051	-0.681	-0.051	12	positive	futuristic	romance	5	positive	historical	action
457.183	0.000	self	0.849	1	0.681	0.681	-0.681	21	negative	historical	action	12	positive	futuristic	romance
464.567	0.000	self	1.840	1	0.681	0.681	0.466	24	negative	historical	action	32	negative	futuristic	action
