onset	duration	trial_type	response_time	choice	self_value_c	self_value1	self_value2	stim_1	valence_1	setting_1	genre_1	stim_2	valence_2	setting_2	genre_2
4.017	0.000	self	1.155	1	0.119	0.119	-0.119	8	positive	historical	action	28	negative	futuristic	romance
11.383	0.000	self	NaN	NaN	NaN	NaN	NaN	31	negative	futuristic	action	16	positive	futuristic	action
18.767	0.000	self	1.137	2	0.325	-0.718	0.325	2	positive	historical	romance	13	positive	futuristic	action
28.250	0.000	self	1.266	1	0.512	0.512	-0.325	23	negative	historical	action	20	negative	historical	romance
38.033	0.000	self	0.925	2	0.512	-0.119	0.512	26	negative	futuristic	romance	23	negative	historical	action
46.750	0.000	self	1.252	1	0.119	0.119	-0.119	8	positive	historical	action	26	negative	futuristic	romance
54.667	0.000	self	1.682	2	-0.325	-0.718	-0.325	2	positive	historical	romance	20	negative	historical	romance
64.150	0.000	self	1.043	1	0.512	0.512	-0.512	23	negative	historical	action	11	positive	futuristic	romance
71.467	0.000	self	1.060	1	0.325	0.325	-0.325	16	positive	futuristic	action	19	negative	historical	romance
79.717	0.000	self	1.039	2	0.325	-0.119	0.325	26	negative	futuristic	romance	16	positive	futuristic	action
87.517	0.000	self	0.922	1	0.119	0.119	-0.718	8	positive	historical	action	4	positive	historical	romance
97.417	0.000	self	1.976	1	0.119	0.119	0.718	8	positive	historical	action	31	negative	futuristic	action
107.050	0.000	self	0.781	1	0.718	0.718	-0.119	29	negative	futuristic	action	26	negative	futuristic	romance
116.683	0.000	self	1.223	2	0.119	-0.512	0.119	10	positive	futuristic	romance	8	positive	historical	action
125.617	0.000	self	1.440	2	0.119	-0.718	0.119	2	positive	historical	romance	5	positive	historical	action
134.133	0.000	self	1.605	2	0.325	0.119	0.325	8	positive	historical	action	16	positive	futuristic	action
142.083	0.000	self	1.653	2	0.512	0.119	0.512	5	positive	historical	action	24	negative	historical	action
150.400	0.000	self	1.486	1	0.512	0.512	0.325	23	negative	historical	action	13	positive	futuristic	action
157.667	0.000	self	NaN	NaN	NaN	NaN	NaN	19	negative	historical	romance	2	positive	historical	romance
166.033	0.000	self	1.034	2	0.325	-0.718	0.325	4	positive	historical	romance	13	positive	futuristic	action
173.683	0.000	self	1.213	1	-0.512	-0.512	-0.119	10	positive	futuristic	romance	26	negative	futuristic	romance
183.583	0.000	self	1.135	1	0.718	0.718	0.325	29	negative	futuristic	action	16	positive	futuristic	action
191.133	0.000	self	1.072	2	0.512	-0.512	0.512	10	positive	futuristic	romance	23	negative	historical	action
198.633	0.000	self	1.112	1	0.119	0.119	-0.325	8	positive	historical	action	19	negative	historical	romance
206.917	0.000	self	0.970	2	0.512	-0.325	0.512	19	negative	historical	romance	24	negative	historical	action
215.000	0.000	self	1.694	1	-0.325	-0.325	-0.119	19	negative	historical	romance	26	negative	futuristic	romance
223.700	0.000	self	1.909	1	-0.512	-0.512	0.119	11	positive	futuristic	romance	5	positive	historical	action
231.667	0.000	self	2.464	1	-0.119	-0.119	-0.512	28	negative	futuristic	romance	11	positive	futuristic	romance
