onset	duration	trial_type	rt	choice	self_value1	self_value2	self_value_c
4.017	0.000	self	1.841	1	-0.162	-0.287	-0.162
13.450	0.000	self	1.143	2	0.021	0.145	0.145
21.033	0.000	self	0.941	2	-0.145	0.145	0.145
30.683	0.000	self	2.386	1	0.021	-0.162	0.021
39.600	0.000	self	1.044	1	0.287	-0.162	0.287
48.183	0.000	self	2.048	1	0.287	-0.287	0.287
57.450	0.000	self	1.081	2	0.145	-0.287	-0.287
64.500	0.000	self	1.537	2	-0.145	-0.287	-0.287
74.100	0.000	self	1.468	2	0.162	-0.145	-0.145
83.417	0.000	self	1.458	1	-0.021	-0.287	-0.021
93.083	0.000	self	1.267	2	-0.021	0.287	0.287
101.150	0.000	self	0.947	1	-0.287	-0.021	-0.287
109.383	0.000	self	2.903	1	-0.021	0.021	-0.021
118.650	0.000	self	2.247	2	-0.162	-0.287	-0.287
127.983	0.000	self	1.443	1	0.287	0.021	0.287
137.883	0.000	self	0.791	2	-0.287	0.145	0.145
145.683	0.000	self	1.800	1	-0.162	-0.021	-0.162
153.567	0.000	self	1.036	1	0.145	-0.162	0.145
160.967	0.000	self	1.829	1	-0.287	0.162	-0.287
168.183	0.000	self	2.235	2	0.021	-0.145	-0.145
178.117	0.000	self	0.912	1	0.287	-0.287	0.287
185.533	0.000	self	1.099	1	-0.287	-0.145	-0.287
193.517	0.000	self	1.100	2	-0.287	-0.145	-0.145
203.417	0.000	self	1.540	2	0.021	0.162	0.162
210.500	0.000	self	1.140	2	-0.145	0.162	0.162
217.867	0.000	self	1.812	2	0.287	0.162	0.162
227.833	0.000	self	0.741	2	0.162	0.145	0.145
237.083	0.000	self	1.138	2	-0.162	0.145	0.145
246.867	0.000	self	1.669	2	0.162	0.287	0.287
254.683	0.000	self	0.949	1	-0.287	0.162	-0.287
263.867	0.000	self	1.350	1	-0.145	-0.287	-0.145
272.533	0.000	self	1.078	1	0.162	-0.287	0.162
282.033	0.000	self	1.174	2	-0.145	-0.021	-0.021
289.767	0.000	self	1.038	2	0.021	-0.287	-0.287
297.167	0.000	self	1.019	1	0.162	-0.021	0.162
305.017	0.000	self	0.786	1	0.145	0.287	0.145
312.867	0.000	self	0.812	2	-0.162	0.162	0.162
320.200	0.000	self	1.256	1	0.162	0.145	0.162
328.100	0.000	self	1.042	1	0.145	0.021	0.145
336.067	0.000	self	2.155	2	0.021	-0.021	-0.021
343.417	0.000	self	2.244	1	-0.287	0.021	-0.287
350.867	0.000	self	1.051	1	0.162	-0.021	0.162
359.667	0.000	self	1.723	2	0.021	0.162	0.162
366.683	0.000	self	1.388	2	0.021	-0.145	-0.145
373.683	0.000	self	2.213	2	-0.162	0.021	0.021
383.000	0.000	self	0.789	1	0.287	-0.021	0.287
392.333	0.000	self	1.168	2	-0.145	0.162	0.162
401.217	0.000	self	1.142	2	-0.021	0.287	0.287
409.117	0.000	self	1.460	1	0.287	0.021	0.287
417.867	0.000	self	1.453	2	0.021	-0.162	-0.162
425.800	0.000	self	1.519	1	0.145	-0.162	0.145
435.500	0.000	self	1.911	2	-0.287	0.021	0.021
443.800	0.000	self	1.189	2	-0.145	0.287	0.287
451.983	0.000	self	1.498	2	-0.021	0.162	0.162
459.600	0.000	self	1.126	2	-0.021	-0.145	-0.145
469.117	0.000	self	1.257	2	-0.162	-0.145	-0.145
