onset	duration	trial_type	response_time	choice	self_value_c	self_value1	self_value2	stim_1	valence_1	setting_1	genre_1	stim_2	valence_2	setting_2	genre_2
4.017	0.000	self	2.041	2	0.051	0.466	0.051	32	negative	futuristic	action	25	negative	futuristic	romance
11.400	0.000	self	0.972	1	0.681	0.681	-0.051	24	negative	historical	action	5	positive	historical	action
20.883	0.000	self	1.178	1	-0.266	-0.266	0.681	13	positive	futuristic	action	21	negative	historical	action
30.667	0.000	self	1.547	2	0.051	-0.681	0.051	12	positive	futuristic	romance	25	negative	futuristic	romance
39.383	0.000	self	1.696	2	0.466	-0.051	0.466	8	positive	historical	action	31	negative	futuristic	action
47.300	0.000	self	2.078	2	-0.266	-0.681	-0.266	10	positive	futuristic	romance	13	positive	futuristic	action
56.783	0.000	self	2.199	2	0.051	-0.681	0.051	10	positive	futuristic	romance	26	negative	futuristic	romance
64.100	0.000	self	1.109	1	-0.051	-0.051	-0.266	5	positive	historical	action	15	positive	futuristic	action
72.350	0.000	self	1.718	1	0.266	0.266	-0.681	18	negative	historical	romance	12	positive	futuristic	romance
80.150	0.000	self	1.004	2	0.681	-0.051	0.681	5	positive	historical	action	21	negative	historical	action
90.050	0.000	self	0.864	2	0.681	-0.266	0.681	15	positive	futuristic	action	24	negative	historical	action
99.683	0.000	self	1.383	2	-0.051	-0.681	-0.051	12	positive	futuristic	romance	8	positive	historical	action
109.300	0.000	self	1.742	1	0.266	0.266	0.051	17	negative	historical	romance	26	negative	futuristic	romance
118.250	0.000	self	1.788	1	0.681	0.681	0.051	21	negative	historical	action	25	negative	futuristic	romance
126.767	0.000	self	0.999	2	0.266	-0.466	0.266	3	positive	historical	romance	17	negative	historical	romance
134.717	0.000	self	1.839	2	0.051	-0.466	0.051	3	positive	historical	romance	26	negative	futuristic	romance
143.017	0.000	self	0.840	2	-0.051	0.051	-0.051	26	negative	futuristic	romance	8	positive	historical	action
150.300	0.000	self	2.170	1	0.051	0.051	-0.681	26	negative	futuristic	romance	12	positive	futuristic	romance
158.667	0.000	self	0.826	1	0.681	0.681	0.051	24	negative	historical	action	26	negative	futuristic	romance
166.317	0.000	self	1.119	1	0.051	0.051	-0.266	25	negative	futuristic	romance	15	positive	futuristic	action
176.200	0.000	self	2.047	1	-0.266	-0.266	-0.466	13	positive	futuristic	action	3	positive	historical	romance
183.767	0.000	self	0.968	1	-0.051	-0.051	-0.266	8	positive	historical	action	13	positive	futuristic	action
191.267	0.000	self	2.555	1	-0.466	-0.466	-0.266	3	positive	historical	romance	15	positive	futuristic	action
199.550	0.000	self	2.031	2	-0.266	-0.681	-0.266	12	positive	futuristic	romance	13	positive	futuristic	action
207.633	0.000	self	1.248	1	0.681	0.681	-0.266	21	negative	historical	action	15	positive	futuristic	action
