onset	duration	trial_type	response_time	choice	self_value_c	self_value1	self_value2	stim_1	valence_1	setting_1	genre_1	stim_2	valence_2	setting_2	genre_2
4.017	0.000	self	2.831	2	0.286	0.020	0.286	27	negative	futuristic	romance	24	negative	historical	action
11.400	0.000	self	2.160	1	0.145	0.145	0.162	32	negative	futuristic	action	20	negative	historical	romance
20.883	0.000	self	2.557	2	-0.020	0.020	-0.020	27	negative	futuristic	romance	8	positive	historical	action
30.667	0.000	self	NaN	NaN	NaN	NaN	NaN	19	negative	historical	romance	1	positive	historical	romance
39.383	0.000	self	1.799	1	0.162	0.162	-0.286	20	negative	historical	romance	12	positive	futuristic	romance
47.300	0.000	self	1.518	2	0.145	0.020	0.145	27	negative	futuristic	romance	32	negative	futuristic	action
56.783	0.000	self	1.999	2	0.286	0.162	0.286	20	negative	historical	romance	24	negative	historical	action
64.100	0.000	self	2.841	2	0.286	-0.286	0.286	11	positive	futuristic	romance	23	negative	historical	action
72.350	0.000	self	1.792	2	0.162	-0.162	0.162	14	positive	futuristic	action	20	negative	historical	romance
80.150	0.000	self	NaN	NaN	NaN	NaN	NaN	12	positive	futuristic	romance	14	positive	futuristic	action
90.050	0.000	self	1.599	2	0.145	-0.286	0.145	11	positive	futuristic	romance	32	negative	futuristic	action
99.683	0.000	self	1.673	1	0.286	0.286	-0.020	23	negative	historical	action	8	positive	historical	action
109.300	0.000	self	1.330	1	0.145	0.145	-0.145	32	negative	futuristic	action	3	positive	historical	romance
118.250	0.000	self	2.173	1	-0.145	-0.145	-0.162	3	positive	historical	romance	14	positive	futuristic	action
126.767	0.000	self	1.198	2	0.286	-0.162	0.286	14	positive	futuristic	action	23	negative	historical	action
134.717	0.000	self	1.866	1	-0.145	-0.145	0.020	1	positive	historical	romance	26	negative	futuristic	romance
143.017	0.000	self	1.500	1	0.145	0.145	-0.020	32	negative	futuristic	action	7	positive	historical	action
150.300	0.000	self	2.905	2	-0.145	-0.162	-0.145	16	positive	futuristic	action	3	positive	historical	romance
158.667	0.000	self	1.639	1	-0.145	-0.145	-0.162	1	positive	historical	romance	14	positive	futuristic	action
166.317	0.000	self	1.204	2	0.145	-0.020	0.145	8	positive	historical	action	32	negative	futuristic	action
176.200	0.000	self	1.584	2	0.286	-0.145	0.286	1	positive	historical	romance	23	negative	historical	action
183.767	0.000	self	2.133	1	0.145	0.145	-0.145	30	negative	futuristic	action	1	positive	historical	romance
191.267	0.000	self	1.228	1	0.162	0.162	0.020	20	negative	historical	romance	26	negative	futuristic	romance
199.550	0.000	self	1.871	1	-0.286	-0.286	-0.020	11	positive	futuristic	romance	8	positive	historical	action
207.633	0.000	self	1.285	2	0.145	-0.162	0.145	14	positive	futuristic	action	32	negative	futuristic	action
216.333	0.000	self	1.917	2	-0.020	-0.162	-0.020	14	positive	futuristic	action	7	positive	historical	action
224.283	0.000	self	1.848	1	0.162	0.162	0.020	19	negative	historical	romance	26	negative	futuristic	romance
232.767	0.000	self	2.127	1	-0.020	-0.020	0.020	8	positive	historical	action	26	negative	futuristic	romance
241.750	0.000	self	2.237	1	-0.020	-0.020	-0.162	8	positive	historical	action	16	positive	futuristic	action
