movie1	movie2	Reference frame	Distance
[P, H, R]	[P, H, R]	Features	0.3333333333333333
[P, H, R]	[P, H, A]	Features	0.1111111111111111
[P, H, R]	[P, F, R]	Features	0.1111111111111111
[P, H, R]	[P, F, A]	Features	-0.1111111111111111
[P, H, R]	[N, H, R]	Features	0.1111111111111111
[P, H, R]	[N, H, A]	Features	-0.1111111111111111
[P, H, R]	[N, F, R]	Features	-0.1111111111111111
[P, H, R]	[N, F, A]	Features	-0.3333333333333333
[P, H, A]	[P, H, R]	Features	0.1111111111111111
[P, H, A]	[P, H, A]	Features	0.3333333333333333
[P, H, A]	[P, F, R]	Features	-0.1111111111111111
[P, H, A]	[P, F, A]	Features	0.1111111111111111
[P, H, A]	[N, H, R]	Features	-0.1111111111111111
[P, H, A]	[N, H, A]	Features	0.1111111111111111
[P, H, A]	[N, F, R]	Features	-0.3333333333333333
[P, H, A]	[N, F, A]	Features	-0.1111111111111111
[P, F, R]	[P, H, R]	Features	0.1111111111111111
[P, F, R]	[P, H, A]	Features	-0.1111111111111111
[P, F, R]	[P, F, R]	Features	0.3333333333333333
[P, F, R]	[P, F, A]	Features	0.1111111111111111
[P, F, R]	[N, H, R]	Features	-0.1111111111111111
[P, F, R]	[N, H, A]	Features	-0.3333333333333333
[P, F, R]	[N, F, R]	Features	0.1111111111111111
[P, F, R]	[N, F, A]	Features	-0.1111111111111111
[P, F, A]	[P, H, R]	Features	-0.1111111111111111
[P, F, A]	[P, H, A]	Features	0.1111111111111111
[P, F, A]	[P, F, R]	Features	0.1111111111111111
[P, F, A]	[P, F, A]	Features	0.3333333333333333
[P, F, A]	[N, H, R]	Features	-0.3333333333333333
[P, F, A]	[N, H, A]	Features	-0.1111111111111111
[P, F, A]	[N, F, R]	Features	-0.1111111111111111
[P, F, A]	[N, F, A]	Features	0.1111111111111111
[N, H, R]	[P, H, R]	Features	0.1111111111111111
[N, H, R]	[P, H, A]	Features	-0.1111111111111111
[N, H, R]	[P, F, R]	Features	-0.1111111111111111
[N, H, R]	[P, F, A]	Features	-0.3333333333333333
[N, H, R]	[N, H, R]	Features	0.3333333333333333
[N, H, R]	[N, H, A]	Features	0.1111111111111111
[N, H, R]	[N, F, R]	Features	0.1111111111111111
[N, H, R]	[N, F, A]	Features	-0.1111111111111111
[N, H, A]	[P, H, R]	Features	-0.1111111111111111
[N, H, A]	[P, H, A]	Features	0.1111111111111111
[N, H, A]	[P, F, R]	Features	-0.3333333333333333
[N, H, A]	[P, F, A]	Features	-0.1111111111111111
[N, H, A]	[N, H, R]	Features	0.1111111111111111
[N, H, A]	[N, H, A]	Features	0.3333333333333333
[N, H, A]	[N, F, R]	Features	-0.1111111111111111
[N, H, A]	[N, F, A]	Features	0.1111111111111111
[N, F, R]	[P, H, R]	Features	-0.1111111111111111
[N, F, R]	[P, H, A]	Features	-0.3333333333333333
[N, F, R]	[P, F, R]	Features	0.1111111111111111
[N, F, R]	[P, F, A]	Features	-0.1111111111111111
[N, F, R]	[N, H, R]	Features	0.1111111111111111
[N, F, R]	[N, H, A]	Features	-0.1111111111111111
[N, F, R]	[N, F, R]	Features	0.3333333333333333
[N, F, R]	[N, F, A]	Features	0.1111111111111111
[N, F, A]	[P, H, R]	Features	-0.3333333333333333
[N, F, A]	[P, H, A]	Features	-0.1111111111111111
[N, F, A]	[P, F, R]	Features	-0.1111111111111111
[N, F, A]	[P, F, A]	Features	0.1111111111111111
[N, F, A]	[N, H, R]	Features	-0.1111111111111111
[N, F, A]	[N, H, A]	Features	0.1111111111111111
[N, F, A]	[N, F, R]	Features	0.1111111111111111
[N, F, A]	[N, F, A]	Features	0.3333333333333333
[P, H, R]	[P, H, R]	Self	0.4289408191697677
[P, H, R]	[P, H, A]	Self	0.3964381650551351
[P, H, R]	[P, F, R]	Self	-0.2046340362626003
[P, H, R]	[P, F, A]	Self	-0.2371366903772329
[P, H, R]	[N, H, R]	Self	0.2371366903772329
[P, H, R]	[N, H, A]	Self	0.2046340362626003
[P, H, R]	[N, F, R]	Self	-0.3964381650551351
[P, H, R]	[N, F, A]	Self	-0.4289408191697677
[P, H, A]	[P, H, R]	Self	0.3964381650551351
[P, H, A]	[P, H, A]	Self	0.4289408191697677
[P, H, A]	[P, F, R]	Self	-0.2371366903772329
[P, H, A]	[P, F, A]	Self	-0.2046340362626003
[P, H, A]	[N, H, R]	Self	0.2046340362626003
[P, H, A]	[N, H, A]	Self	0.2371366903772329
[P, H, A]	[N, F, R]	Self	-0.4289408191697677
[P, H, A]	[N, F, A]	Self	-0.3964381650551351
[P, F, R]	[P, H, R]	Self	-0.2046340362626003
[P, F, R]	[P, H, A]	Self	-0.2371366903772329
[P, F, R]	[P, F, R]	Self	0.4289408191697677
[P, F, R]	[P, F, A]	Self	0.3964381650551351
[P, F, R]	[N, H, R]	Self	-0.3964381650551351
[P, F, R]	[N, H, A]	Self	-0.4289408191697677
[P, F, R]	[N, F, R]	Self	0.2371366903772329
[P, F, R]	[N, F, A]	Self	0.2046340362626003
[P, F, A]	[P, H, R]	Self	-0.2371366903772329
[P, F, A]	[P, H, A]	Self	-0.2046340362626003
[P, F, A]	[P, F, R]	Self	0.3964381650551351
[P, F, A]	[P, F, A]	Self	0.4289408191697677
[P, F, A]	[N, H, R]	Self	-0.4289408191697677
[P, F, A]	[N, H, A]	Self	-0.3964381650551351
[P, F, A]	[N, F, R]	Self	0.2046340362626003
[P, F, A]	[N, F, A]	Self	0.2371366903772329
[N, H, R]	[P, H, R]	Self	0.2371366903772329
[N, H, R]	[P, H, A]	Self	0.2046340362626003
[N, H, R]	[P, F, R]	Self	-0.3964381650551351
[N, H, R]	[P, F, A]	Self	-0.4289408191697677
[N, H, R]	[N, H, R]	Self	0.4289408191697677
[N, H, R]	[N, H, A]	Self	0.3964381650551351
[N, H, R]	[N, F, R]	Self	-0.2046340362626003
[N, H, R]	[N, F, A]	Self	-0.2371366903772329
[N, H, A]	[P, H, R]	Self	0.2046340362626003
[N, H, A]	[P, H, A]	Self	0.2371366903772329
[N, H, A]	[P, F, R]	Self	-0.4289408191697677
[N, H, A]	[P, F, A]	Self	-0.3964381650551351
[N, H, A]	[N, H, R]	Self	0.3964381650551351
[N, H, A]	[N, H, A]	Self	0.4289408191697677
[N, H, A]	[N, F, R]	Self	-0.2371366903772329
[N, H, A]	[N, F, A]	Self	-0.2046340362626003
[N, F, R]	[P, H, R]	Self	-0.3964381650551351
[N, F, R]	[P, H, A]	Self	-0.4289408191697677
[N, F, R]	[P, F, R]	Self	0.2371366903772329
[N, F, R]	[P, F, A]	Self	0.2046340362626003
[N, F, R]	[N, H, R]	Self	-0.2046340362626003
[N, F, R]	[N, H, A]	Self	-0.2371366903772329
[N, F, R]	[N, F, R]	Self	0.4289408191697677
[N, F, R]	[N, F, A]	Self	0.3964381650551351
[N, F, A]	[P, H, R]	Self	-0.4289408191697677
[N, F, A]	[P, H, A]	Self	-0.3964381650551351
[N, F, A]	[P, F, R]	Self	0.2046340362626003
[N, F, A]	[P, F, A]	Self	0.2371366903772329
[N, F, A]	[N, H, R]	Self	-0.2371366903772329
[N, F, A]	[N, H, A]	Self	-0.2046340362626003
[N, F, A]	[N, F, R]	Self	0.3964381650551351
[N, F, A]	[N, F, A]	Self	0.4289408191697677
[P, H, R]	[P, H, R]	Other	0.37346173584273307
[P, H, R]	[P, H, A]	Other	0.30177731695311105
[P, H, R]	[P, F, R]	Other	0.14471989191566909
[P, H, R]	[P, F, A]	Other	0.07303547302604706
[P, H, R]	[N, H, R]	Other	-0.07303547302604706
[P, H, R]	[N, H, A]	Other	-0.14471989191566909
[P, H, R]	[N, F, R]	Other	-0.30177731695311105
[P, H, R]	[N, F, A]	Other	-0.37346173584273307
[P, H, A]	[P, H, R]	Other	0.30177731695311105
[P, H, A]	[P, H, A]	Other	0.37346173584273307
[P, H, A]	[P, F, R]	Other	0.07303547302604706
[P, H, A]	[P, F, A]	Other	0.14471989191566909
[P, H, A]	[N, H, R]	Other	-0.14471989191566909
[P, H, A]	[N, H, A]	Other	-0.07303547302604706
[P, H, A]	[N, F, R]	Other	-0.37346173584273307
[P, H, A]	[N, F, A]	Other	-0.30177731695311105
[P, F, R]	[P, H, R]	Other	0.14471989191566909
[P, F, R]	[P, H, A]	Other	0.07303547302604706
[P, F, R]	[P, F, R]	Other	0.37346173584273307
[P, F, R]	[P, F, A]	Other	0.30177731695311105
[P, F, R]	[N, H, R]	Other	-0.30177731695311105
[P, F, R]	[N, H, A]	Other	-0.37346173584273307
[P, F, R]	[N, F, R]	Other	-0.07303547302604706
[P, F, R]	[N, F, A]	Other	-0.14471989191566909
[P, F, A]	[P, H, R]	Other	0.07303547302604706
[P, F, A]	[P, H, A]	Other	0.14471989191566909
[P, F, A]	[P, F, R]	Other	0.30177731695311105
[P, F, A]	[P, F, A]	Other	0.37346173584273307
[P, F, A]	[N, H, R]	Other	-0.37346173584273307
[P, F, A]	[N, H, A]	Other	-0.30177731695311105
[P, F, A]	[N, F, R]	Other	-0.14471989191566909
[P, F, A]	[N, F, A]	Other	-0.07303547302604706
[N, H, R]	[P, H, R]	Other	-0.07303547302604706
[N, H, R]	[P, H, A]	Other	-0.14471989191566909
[N, H, R]	[P, F, R]	Other	-0.30177731695311105
[N, H, R]	[P, F, A]	Other	-0.37346173584273307
[N, H, R]	[N, H, R]	Other	0.37346173584273307
[N, H, R]	[N, H, A]	Other	0.30177731695311105
[N, H, R]	[N, F, R]	Other	0.14471989191566909
[N, H, R]	[N, F, A]	Other	0.07303547302604706
[N, H, A]	[P, H, R]	Other	-0.14471989191566909
[N, H, A]	[P, H, A]	Other	-0.07303547302604706
[N, H, A]	[P, F, R]	Other	-0.37346173584273307
[N, H, A]	[P, F, A]	Other	-0.30177731695311105
[N, H, A]	[N, H, R]	Other	0.30177731695311105
[N, H, A]	[N, H, A]	Other	0.37346173584273307
[N, H, A]	[N, F, R]	Other	0.07303547302604706
[N, H, A]	[N, F, A]	Other	0.14471989191566909
[N, F, R]	[P, H, R]	Other	-0.30177731695311105
[N, F, R]	[P, H, A]	Other	-0.37346173584273307
[N, F, R]	[P, F, R]	Other	-0.07303547302604706
[N, F, R]	[P, F, A]	Other	-0.14471989191566909
[N, F, R]	[N, H, R]	Other	0.14471989191566909
[N, F, R]	[N, H, A]	Other	0.07303547302604706
[N, F, R]	[N, F, R]	Other	0.37346173584273307
[N, F, R]	[N, F, A]	Other	0.30177731695311105
[N, F, A]	[P, H, R]	Other	-0.37346173584273307
[N, F, A]	[P, H, A]	Other	-0.30177731695311105
[N, F, A]	[P, F, R]	Other	-0.14471989191566909
[N, F, A]	[P, F, A]	Other	-0.07303547302604706
[N, F, A]	[N, H, R]	Other	0.07303547302604706
[N, F, A]	[N, H, A]	Other	0.14471989191566909
[N, F, A]	[N, F, R]	Other	0.30177731695311105
[N, F, A]	[N, F, A]	Other	0.37346173584273307
