movie1	movie2	Reference frame	Distance
[P, H, R]	[P, H, R]	Features	0.3333333333333333
[P, H, R]	[P, H, A]	Features	0.1111111111111111
[P, H, R]	[P, F, R]	Features	0.1111111111111111
[P, H, R]	[P, F, A]	Features	-0.1111111111111111
[P, H, R]	[N, H, R]	Features	0.1111111111111111
[P, H, R]	[N, H, A]	Features	-0.1111111111111111
[P, H, R]	[N, F, R]	Features	-0.1111111111111111
[P, H, R]	[N, F, A]	Features	-0.3333333333333333
[P, H, A]	[P, H, R]	Features	0.1111111111111111
[P, H, A]	[P, H, A]	Features	0.3333333333333333
[P, H, A]	[P, F, R]	Features	-0.1111111111111111
[P, H, A]	[P, F, A]	Features	0.1111111111111111
[P, H, A]	[N, H, R]	Features	-0.1111111111111111
[P, H, A]	[N, H, A]	Features	0.1111111111111111
[P, H, A]	[N, F, R]	Features	-0.3333333333333333
[P, H, A]	[N, F, A]	Features	-0.1111111111111111
[P, F, R]	[P, H, R]	Features	0.1111111111111111
[P, F, R]	[P, H, A]	Features	-0.1111111111111111
[P, F, R]	[P, F, R]	Features	0.3333333333333333
[P, F, R]	[P, F, A]	Features	0.1111111111111111
[P, F, R]	[N, H, R]	Features	-0.1111111111111111
[P, F, R]	[N, H, A]	Features	-0.3333333333333333
[P, F, R]	[N, F, R]	Features	0.1111111111111111
[P, F, R]	[N, F, A]	Features	-0.1111111111111111
[P, F, A]	[P, H, R]	Features	-0.1111111111111111
[P, F, A]	[P, H, A]	Features	0.1111111111111111
[P, F, A]	[P, F, R]	Features	0.1111111111111111
[P, F, A]	[P, F, A]	Features	0.3333333333333333
[P, F, A]	[N, H, R]	Features	-0.3333333333333333
[P, F, A]	[N, H, A]	Features	-0.1111111111111111
[P, F, A]	[N, F, R]	Features	-0.1111111111111111
[P, F, A]	[N, F, A]	Features	0.1111111111111111
[N, H, R]	[P, H, R]	Features	0.1111111111111111
[N, H, R]	[P, H, A]	Features	-0.1111111111111111
[N, H, R]	[P, F, R]	Features	-0.1111111111111111
[N, H, R]	[P, F, A]	Features	-0.3333333333333333
[N, H, R]	[N, H, R]	Features	0.3333333333333333
[N, H, R]	[N, H, A]	Features	0.1111111111111111
[N, H, R]	[N, F, R]	Features	0.1111111111111111
[N, H, R]	[N, F, A]	Features	-0.1111111111111111
[N, H, A]	[P, H, R]	Features	-0.1111111111111111
[N, H, A]	[P, H, A]	Features	0.1111111111111111
[N, H, A]	[P, F, R]	Features	-0.3333333333333333
[N, H, A]	[P, F, A]	Features	-0.1111111111111111
[N, H, A]	[N, H, R]	Features	0.1111111111111111
[N, H, A]	[N, H, A]	Features	0.3333333333333333
[N, H, A]	[N, F, R]	Features	-0.1111111111111111
[N, H, A]	[N, F, A]	Features	0.1111111111111111
[N, F, R]	[P, H, R]	Features	-0.1111111111111111
[N, F, R]	[P, H, A]	Features	-0.3333333333333333
[N, F, R]	[P, F, R]	Features	0.1111111111111111
[N, F, R]	[P, F, A]	Features	-0.1111111111111111
[N, F, R]	[N, H, R]	Features	0.1111111111111111
[N, F, R]	[N, H, A]	Features	-0.1111111111111111
[N, F, R]	[N, F, R]	Features	0.3333333333333333
[N, F, R]	[N, F, A]	Features	0.1111111111111111
[N, F, A]	[P, H, R]	Features	-0.3333333333333333
[N, F, A]	[P, H, A]	Features	-0.1111111111111111
[N, F, A]	[P, F, R]	Features	-0.1111111111111111
[N, F, A]	[P, F, A]	Features	0.1111111111111111
[N, F, A]	[N, H, R]	Features	-0.1111111111111111
[N, F, A]	[N, H, A]	Features	0.1111111111111111
[N, F, A]	[N, F, R]	Features	0.1111111111111111
[N, F, A]	[N, F, A]	Features	0.3333333333333333
[P, H, R]	[P, H, R]	Self	0.4067620058212481
[P, H, R]	[P, H, A]	Self	0.22121574885875842
[P, H, R]	[P, F, R]	Self	0.3570102435275855
[P, H, R]	[P, F, A]	Self	0.17146398656509582
[P, H, R]	[N, H, R]	Self	-0.17146398656509582
[P, H, R]	[N, H, A]	Self	-0.3570102435275855
[P, H, R]	[N, F, R]	Self	-0.22121574885875842
[P, H, R]	[N, F, A]	Self	-0.4067620058212481
[P, H, A]	[P, H, R]	Self	0.22121574885875842
[P, H, A]	[P, H, A]	Self	0.4067620058212481
[P, H, A]	[P, F, R]	Self	0.17146398656509582
[P, H, A]	[P, F, A]	Self	0.3570102435275855
[P, H, A]	[N, H, R]	Self	-0.3570102435275855
[P, H, A]	[N, H, A]	Self	-0.17146398656509582
[P, H, A]	[N, F, R]	Self	-0.4067620058212481
[P, H, A]	[N, F, A]	Self	-0.22121574885875842
[P, F, R]	[P, H, R]	Self	0.3570102435275855
[P, F, R]	[P, H, A]	Self	0.17146398656509582
[P, F, R]	[P, F, R]	Self	0.4067620058212481
[P, F, R]	[P, F, A]	Self	0.22121574885875842
[P, F, R]	[N, H, R]	Self	-0.22121574885875842
[P, F, R]	[N, H, A]	Self	-0.4067620058212481
[P, F, R]	[N, F, R]	Self	-0.17146398656509582
[P, F, R]	[N, F, A]	Self	-0.3570102435275855
[P, F, A]	[P, H, R]	Self	0.17146398656509582
[P, F, A]	[P, H, A]	Self	0.3570102435275855
[P, F, A]	[P, F, R]	Self	0.22121574885875842
[P, F, A]	[P, F, A]	Self	0.4067620058212481
[P, F, A]	[N, H, R]	Self	-0.4067620058212481
[P, F, A]	[N, H, A]	Self	-0.22121574885875842
[P, F, A]	[N, F, R]	Self	-0.3570102435275855
[P, F, A]	[N, F, A]	Self	-0.17146398656509582
[N, H, R]	[P, H, R]	Self	-0.17146398656509582
[N, H, R]	[P, H, A]	Self	-0.3570102435275855
[N, H, R]	[P, F, R]	Self	-0.22121574885875842
[N, H, R]	[P, F, A]	Self	-0.4067620058212481
[N, H, R]	[N, H, R]	Self	0.4067620058212481
[N, H, R]	[N, H, A]	Self	0.22121574885875842
[N, H, R]	[N, F, R]	Self	0.3570102435275855
[N, H, R]	[N, F, A]	Self	0.17146398656509582
[N, H, A]	[P, H, R]	Self	-0.3570102435275855
[N, H, A]	[P, H, A]	Self	-0.17146398656509582
[N, H, A]	[P, F, R]	Self	-0.4067620058212481
[N, H, A]	[P, F, A]	Self	-0.22121574885875842
[N, H, A]	[N, H, R]	Self	0.22121574885875842
[N, H, A]	[N, H, A]	Self	0.4067620058212481
[N, H, A]	[N, F, R]	Self	0.17146398656509582
[N, H, A]	[N, F, A]	Self	0.3570102435275855
[N, F, R]	[P, H, R]	Self	-0.22121574885875842
[N, F, R]	[P, H, A]	Self	-0.4067620058212481
[N, F, R]	[P, F, R]	Self	-0.17146398656509582
[N, F, R]	[P, F, A]	Self	-0.3570102435275855
[N, F, R]	[N, H, R]	Self	0.3570102435275855
[N, F, R]	[N, H, A]	Self	0.17146398656509582
[N, F, R]	[N, F, R]	Self	0.4067620058212481
[N, F, R]	[N, F, A]	Self	0.22121574885875842
[N, F, A]	[P, H, R]	Self	-0.4067620058212481
[N, F, A]	[P, H, A]	Self	-0.22121574885875842
[N, F, A]	[P, F, R]	Self	-0.3570102435275855
[N, F, A]	[P, F, A]	Self	-0.17146398656509582
[N, F, A]	[N, H, R]	Self	0.17146398656509582
[N, F, A]	[N, H, A]	Self	0.3570102435275855
[N, F, A]	[N, F, R]	Self	0.22121574885875842
[N, F, A]	[N, F, A]	Self	0.4067620058212481
[P, H, R]	[P, H, R]	Other	0.4610495823396471
[P, H, R]	[P, H, A]	Other	0.37510075596454495
[P, H, R]	[P, F, R]	Other	-0.3183611010528565
[P, H, R]	[P, F, A]	Other	-0.4043099274279586
[P, H, R]	[N, H, R]	Other	0.4043099274279586
[P, H, R]	[N, H, A]	Other	0.3183611010528565
[P, H, R]	[N, F, R]	Other	-0.37510075596454495
[P, H, R]	[N, F, A]	Other	-0.4610495823396471
[P, H, A]	[P, H, R]	Other	0.37510075596454495
[P, H, A]	[P, H, A]	Other	0.4610495823396471
[P, H, A]	[P, F, R]	Other	-0.4043099274279586
[P, H, A]	[P, F, A]	Other	-0.3183611010528565
[P, H, A]	[N, H, R]	Other	0.3183611010528565
[P, H, A]	[N, H, A]	Other	0.4043099274279586
[P, H, A]	[N, F, R]	Other	-0.4610495823396471
[P, H, A]	[N, F, A]	Other	-0.37510075596454495
[P, F, R]	[P, H, R]	Other	-0.3183611010528565
[P, F, R]	[P, H, A]	Other	-0.4043099274279586
[P, F, R]	[P, F, R]	Other	0.4610495823396471
[P, F, R]	[P, F, A]	Other	0.37510075596454495
[P, F, R]	[N, H, R]	Other	-0.37510075596454495
[P, F, R]	[N, H, A]	Other	-0.4610495823396471
[P, F, R]	[N, F, R]	Other	0.4043099274279586
[P, F, R]	[N, F, A]	Other	0.3183611010528565
[P, F, A]	[P, H, R]	Other	-0.4043099274279586
[P, F, A]	[P, H, A]	Other	-0.3183611010528565
[P, F, A]	[P, F, R]	Other	0.37510075596454495
[P, F, A]	[P, F, A]	Other	0.4610495823396471
[P, F, A]	[N, H, R]	Other	-0.4610495823396471
[P, F, A]	[N, H, A]	Other	-0.37510075596454495
[P, F, A]	[N, F, R]	Other	0.3183611010528565
[P, F, A]	[N, F, A]	Other	0.4043099274279586
[N, H, R]	[P, H, R]	Other	0.4043099274279586
[N, H, R]	[P, H, A]	Other	0.3183611010528565
[N, H, R]	[P, F, R]	Other	-0.37510075596454495
[N, H, R]	[P, F, A]	Other	-0.4610495823396471
[N, H, R]	[N, H, R]	Other	0.4610495823396471
[N, H, R]	[N, H, A]	Other	0.37510075596454495
[N, H, R]	[N, F, R]	Other	-0.3183611010528565
[N, H, R]	[N, F, A]	Other	-0.4043099274279586
[N, H, A]	[P, H, R]	Other	0.3183611010528565
[N, H, A]	[P, H, A]	Other	0.4043099274279586
[N, H, A]	[P, F, R]	Other	-0.4610495823396471
[N, H, A]	[P, F, A]	Other	-0.37510075596454495
[N, H, A]	[N, H, R]	Other	0.37510075596454495
[N, H, A]	[N, H, A]	Other	0.4610495823396471
[N, H, A]	[N, F, R]	Other	-0.4043099274279586
[N, H, A]	[N, F, A]	Other	-0.3183611010528565
[N, F, R]	[P, H, R]	Other	-0.37510075596454495
[N, F, R]	[P, H, A]	Other	-0.4610495823396471
[N, F, R]	[P, F, R]	Other	0.4043099274279586
[N, F, R]	[P, F, A]	Other	0.3183611010528565
[N, F, R]	[N, H, R]	Other	-0.3183611010528565
[N, F, R]	[N, H, A]	Other	-0.4043099274279586
[N, F, R]	[N, F, R]	Other	0.4610495823396471
[N, F, R]	[N, F, A]	Other	0.37510075596454495
[N, F, A]	[P, H, R]	Other	-0.4610495823396471
[N, F, A]	[P, H, A]	Other	-0.37510075596454495
[N, F, A]	[P, F, R]	Other	0.3183611010528565
[N, F, A]	[P, F, A]	Other	0.4043099274279586
[N, F, A]	[N, H, R]	Other	-0.4043099274279586
[N, F, A]	[N, H, A]	Other	-0.3183611010528565
[N, F, A]	[N, F, R]	Other	0.37510075596454495
[N, F, A]	[N, F, A]	Other	0.4610495823396471
