onset	duration	trial_type	rt	choice	outcome	PE	Value1	Value2	Value_c	W1	W2	W3
4.017	0.000	self	2.003	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
15.683	0.000	self	1.648	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
27.700	0.000	self	2.491	1	1.000	1.000	0.000	-0.000	0.000	0.000	0.000	0.000
38.467	0.000	self	2.052	2	1.000	1.016	0.016	-0.016	-0.016	0.016	0.016	-0.016
50.883	0.000	self	2.449	1	1.000	0.967	0.033	0.033	0.033	-0.000	-0.000	-0.033
63.800	0.000	self	1.194	2	1.000	0.952	-0.080	0.048	0.048	-0.016	0.016	-0.049
77.267	0.000	self	1.858	1	1.000	1.095	-0.095	0.033	-0.095	-0.001	0.031	-0.064
88.300	0.000	self	1.995	1	1.000	1.015	-0.015	0.078	-0.015	-0.018	0.013	-0.046
101.083	0.000	self	2.173	2	1.000	0.905	-0.095	0.095	0.095	-0.035	0.030	-0.030
114.850	0.000	self	1.505	2	1.000	0.950	-0.050	0.050	0.050	-0.050	0.045	-0.045
127.033	0.000	self	1.488	2	0.000	0.155	0.034	-0.155	-0.155	-0.065	0.060	-0.029
138.267	0.000	self	2.456	1	0.000	0.147	-0.147	-0.021	-0.147	-0.063	0.058	-0.027
150.883	0.000	self	1.942	2	1.000	0.909	0.019	0.091	0.091	-0.060	0.055	-0.024
162.767	0.000	self	2.281	2	1.000	0.845	0.004	0.155	0.155	-0.075	0.070	-0.009
175.317	0.000	self	2.287	2	1.000	0.804	0.028	0.196	0.196	-0.089	0.084	-0.023
188.433	0.000	self	1.220	1	1.000	0.958	0.042	-0.236	0.042	-0.102	0.097	-0.036
200.717	0.000	self	2.911	2	0.000	0.251	-0.147	-0.251	-0.251	-0.118	0.081	-0.052
214.283	0.000	self	NaN	NaN	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN
225.917	0.000	self	1.398	1	1.000	1.084	-0.084	0.084	-0.084	-0.114	0.077	-0.048
236.983	0.000	self	1.209	1	1.000	0.779	0.221	-0.221	0.221	-0.096	0.095	-0.030
249.967	0.000	self	1.968	2	1.000	0.958	-0.174	0.042	0.042	-0.109	0.108	-0.043
263.917	0.000	self	2.539	1	1.000	1.089	-0.089	-0.275	-0.089	-0.093	0.123	-0.059
274.950	0.000	self	1.300	1	1.000	1.035	-0.035	-0.257	-0.035	-0.111	0.106	-0.041
287.867	0.000	self	NaN	NaN	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN
300.617	0.000	self	1.173	2	0.000	0.063	0.063	-0.063	-0.063	-0.128	0.089	-0.024
312.767	0.000	self	2.156	1	1.000	0.806	0.194	-0.014	0.194	-0.127	0.090	-0.023
323.950	0.000	self	1.438	1	1.000	0.767	0.233	0.028	0.233	-0.140	0.103	-0.010
337.167	0.000	self	2.064	2	1.000	0.966	-0.271	0.034	0.034	-0.153	0.115	0.003
348.567	0.000	self	1.354	2	1.000	0.719	0.082	0.281	0.281	-0.168	0.100	-0.013
361.000	0.000	self	1.689	1	1.000	1.093	-0.093	-0.316	-0.093	-0.180	0.111	-0.025
373.800	0.000	self	2.832	2	1.000	0.702	-0.040	0.298	0.298	-0.162	0.129	-0.007
385.083	0.000	self	1.490	2	1.000	1.051	-0.296	-0.051	-0.051	-0.174	0.141	-0.018
398.600	0.000	self	1.169	2	1.000	1.000	-0.316	-0.000	-0.000	-0.157	0.158	-0.001
409.867	0.000	self	0.974	2	1.000	0.668	-0.297	0.332	0.332	-0.173	0.142	-0.017
421.534	0.000	self	2.968	1	0.000	0.365	-0.365	0.060	-0.365	-0.184	0.153	-0.028
433.267	0.000	self	1.218	2	1.000	1.009	-0.347	-0.009	-0.009	-0.178	0.147	-0.022
447.517	0.000	self	1.590	1	1.000	0.960	0.040	-0.040	0.040	-0.161	0.163	-0.039
458.467	0.000	self	1.968	1	1.000	1.021	-0.021	-0.088	-0.021	-0.146	0.179	-0.055
471.717	0.000	self	0.850	1	1.000	0.971	0.029	-0.287	0.029	-0.129	0.195	-0.038
483.717	0.000	self	1.043	2	1.000	0.697	-0.346	0.303	0.303	-0.113	0.211	-0.022
494.533	0.000	self	2.017	2	0.000	0.088	-0.109	-0.088	-0.088	-0.125	0.223	-0.011
506.183	0.000	self	2.134	1	1.000	0.641	0.359	0.107	0.359	-0.126	0.221	-0.012
517.967	0.000	self	NaN	NaN	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN
531.550	0.000	self	1.720	2	1.000	0.654	-0.346	0.346	0.346	-0.136	0.232	-0.022
543.950	0.000	self	2.242	2	1.000	1.107	-0.401	-0.107	-0.107	-0.147	0.242	-0.012
557.200	0.000	self	1.280	2	1.000	0.604	0.066	0.396	0.396	-0.165	0.224	0.006
569.533	0.000	self	1.059	1	1.000	0.574	0.426	-0.075	0.426	-0.175	0.234	0.016
580.533	0.000	self	1.393	2	1.000	0.966	-0.085	0.034	0.034	-0.185	0.244	0.026
591.417	0.000	self	0.872	2	1.000	0.919	-0.438	0.081	0.081	-0.169	0.259	0.010
602.233	0.000	self	1.145	1	1.000	0.567	0.433	-0.126	0.433	-0.154	0.275	-0.005
613.783	0.000	self	NaN	NaN	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN
625.650	0.000	self	1.758	1	1.000	0.865	0.135	-0.135	0.135	-0.163	0.284	-0.014
637.833	0.000	self	1.556	2	1.000	0.582	0.121	0.418	0.418	-0.149	0.298	-0.029
650.050	0.000	self	0.886	2	1.000	0.832	-0.168	0.168	0.168	-0.158	0.307	-0.019
660.267	0.000	self	1.276	1	1.000	0.502	0.498	-0.144	0.498	-0.145	0.321	-0.033
671.600	0.000	self	1.197	2	1.000	0.559	-0.217	0.441	0.441	-0.153	0.329	-0.041
