onset	duration	trial_type	rt	choice	outcome	PE	Value1	Value2	Value_c	W1	W2	W3
534.900	0.000	self	1.634	1	1.000	0.850	0.150	-0.022	0.150	-0.064	-0.054	0.140
548.483	0.000	self	1.370	1	1.000	1.035	-0.035	-0.272	-0.035	-0.077	-0.041	0.153
560.533	0.000	self	1.166	1	1.000	0.899	0.101	0.013	0.101	-0.094	-0.057	0.137
573.217	0.000	self	0.929	1	1.000	0.857	0.143	-0.302	0.143	-0.080	-0.071	0.151
585.733	0.000	self	0.944	1	1.000	0.817	0.183	-0.183	0.183	-0.066	-0.085	0.165
597.733	0.000	self	1.969	2	0.000	0.222	-0.027	-0.222	-0.222	-0.053	-0.097	0.178
609.183	0.000	self	1.317	2	1.000	0.675	0.137	0.325	0.325	-0.057	-0.094	0.174
620.633	0.000	self	1.268	2	1.000	0.987	-0.222	0.013	0.013	-0.067	-0.104	0.185
633.117	0.000	self	1.559	2	1.000	1.059	-0.237	-0.059	-0.059	-0.052	-0.089	0.200
645.617	0.000	self	1.285	1	1.000	1.146	-0.146	-0.358	-0.146	-0.068	-0.106	0.183
655.917	0.000	self	1.269	2	0.000	0.009	0.340	-0.009	-0.009	-0.051	-0.124	0.166
668.317	0.000	self	1.298	2	0.000	0.093	0.093	-0.093	-0.093	-0.050	-0.123	0.166
678.700	0.000	self	1.757	1	1.000	0.662	0.338	0.240	0.338	-0.049	-0.125	0.164
