onset	duration	trial_type	rt	choice	outcome	PE	Value1	Value2	Value_c	W1	W2	W3
4.017	0.000	self	1.189	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
17.100	0.000	self	1.688	2	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
28.433	0.000	self	1.673	2	0.000	-0.047	0.016	0.047	0.047	-0.016	-0.016	0.016
40.267	0.000	self	1.452	1	1.000	0.955	0.045	-0.015	0.045	-0.015	-0.015	0.015
54.367	0.000	self	1.622	2	0.000	0.090	0.090	-0.090	-0.090	-0.030	-0.030	0.030
66.383	0.000	self	1.396	1	0.000	-0.085	0.085	0.028	0.085	-0.028	-0.028	0.028
78.250	0.000	self	2.197	2	0.000	0.027	-0.027	-0.027	-0.027	-0.027	-0.027	0.027
92.033	0.000	self	2.187	1	1.000	1.028	-0.028	-0.081	-0.028	-0.027	-0.028	0.027
105.017	0.000	self	1.925	1	0.000	-0.021	0.021	-0.044	0.021	-0.043	-0.011	0.011
116.900	0.000	self	2.048	1	1.000	1.043	-0.043	-0.020	-0.043	-0.042	-0.012	0.011
129.950	0.000	self	2.224	1	1.000	1.003	-0.003	-0.049	-0.003	-0.026	0.005	0.027
142.850	0.000	self	2.465	1	0.000	0.065	-0.065	0.044	-0.065	-0.010	-0.011	0.043
153.200	0.000	self	2.424	1	0.000	-0.043	0.043	0.041	0.043	-0.009	-0.010	0.042
166.333	0.000	self	1.686	1	0.000	0.041	-0.041	0.041	-0.041	-0.010	-0.009	0.041
178.267	0.000	self	1.418	2	1.000	0.961	-0.039	0.039	0.039	-0.011	-0.009	0.041
189.884	0.000	self	1.578	1	1.000	0.916	0.084	0.036	0.084	0.004	-0.024	0.056
202.433	0.000	self	2.735	1	0.000	0.127	-0.127	-0.050	-0.127	0.019	-0.038	0.070
214.100	0.000	self	1.179	1	1.000	1.048	-0.048	-0.015	-0.048	0.017	-0.036	0.068
226.483	0.000	self	1.281	2	1.000	0.999	-0.104	0.001	0.001	0.000	-0.053	0.052
239.133	0.000	self	1.169	1	0.000	-0.048	0.048	-0.017	0.048	-0.015	-0.068	0.036
252.000	0.000	self	1.465	2	1.000	0.955	0.016	0.045	0.045	-0.015	-0.067	0.037
264.150	0.000	self	1.857	1	0.000	-0.075	0.075	0.031	0.075	-0.030	-0.082	0.022
277.433	0.000	self	1.488	1	1.000	1.030	-0.030	-0.091	-0.030	-0.031	-0.081	0.021
289.417	0.000	self	1.898	2	1.000	1.075	-0.149	-0.075	-0.075	-0.047	-0.065	0.037
299.750	0.000	self	1.525	1	1.000	1.025	-0.025	0.072	-0.025	-0.030	-0.048	0.054
312.150	0.000	self	1.440	1	1.000	1.088	-0.088	-0.116	-0.088	-0.014	-0.032	0.070
325.250	0.000	self	1.799	1	1.000	0.901	0.099	-0.068	0.099	-0.031	-0.015	0.053
338.600	0.000	self	2.498	2	0.000	0.082	-0.141	-0.082	-0.082	-0.045	-0.029	0.067
350.383	0.000	self	1.276	2	1.000	0.991	-0.140	0.009	0.009	-0.044	-0.031	0.065
362.350	0.000	self	1.588	1	1.000	0.937	0.063	-0.155	0.063	-0.059	-0.046	0.050
374.383	0.000	self	1.417	1	1.000	0.830	0.170	-0.107	0.170	-0.074	-0.032	0.065
385.200	0.000	self	2.149	1	1.000	0.880	0.120	-0.209	0.120	-0.087	-0.045	0.078
397.817	0.000	self	1.668	1	0.000	-0.040	0.040	-0.040	0.040	-0.101	-0.031	0.091
411.017	0.000	self	1.706	1	1.000	0.978	0.022	0.162	0.022	-0.100	-0.030	0.092
424.650	0.000	self	1.667	1	1.000	1.023	-0.023	-0.068	-0.023	-0.085	-0.045	0.107
435.850	0.000	self	1.744	1	0.000	0.163	-0.163	0.163	-0.163	-0.069	-0.029	0.123
446.783	0.000	self	1.985	2	0.000	-0.219	0.155	0.219	0.219	-0.066	-0.032	0.121
460.067	0.000	self	1.492	2	0.000	0.026	0.083	-0.026	-0.026	-0.063	-0.029	0.117
471.000	0.000	self	1.532	1	0.000	0.025	-0.025	0.083	-0.025	-0.063	-0.029	0.117
483.133	0.000	self	1.123	2	1.000	0.918	-0.151	0.082	0.082	-0.064	-0.029	0.116
497.150	0.000	self	1.231	1	0.000	-0.038	0.038	0.136	0.038	-0.049	-0.044	0.131
510.850	0.000	self	1.252	2	1.000	0.776	-0.136	0.224	0.224	-0.050	-0.044	0.130
522.933	0.000	self	1.609	1	0.000	0.137	-0.137	0.148	-0.137	-0.062	-0.056	0.142
