onset	duration	trial_type	response_time	choice	outcome	PE	Value_c	Value1	Value2	W1	W2	W3	stim_1	valence_1	setting_1	genre_1	stim_2	valence_2	setting_2	genre_2
4.017	0.000	self	1.189	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	25	negative	futuristic	romance	12	positive	futuristic	romance
17.100	0.000	self	1.688	2	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	23	negative	historical	action	25	negative	futuristic	romance
28.433	0.000	self	1.673	2	0.000	-0.009	0.009	0.003	0.009	-0.003	-0.003	0.003	11	positive	futuristic	romance	26	negative	futuristic	romance
40.267	0.000	self	1.452	1	1.000	0.992	0.008	0.008	-0.003	-0.003	-0.003	0.003	25	negative	futuristic	romance	3	positive	historical	romance
54.367	0.000	self	1.622	2	0.000	0.017	-0.017	0.017	-0.017	-0.006	-0.006	0.006	26	negative	futuristic	romance	7	positive	historical	action
66.383	0.000	self	1.396	1	0.000	-0.017	0.017	0.017	0.006	-0.006	-0.006	0.006	26	negative	futuristic	romance	19	negative	historical	romance
78.250	0.000	self	2.197	2	0.000	0.006	-0.006	-0.006	-0.006	-0.006	-0.006	0.006	23	negative	historical	action	14	positive	futuristic	action
92.033	0.000	self	2.187	1	1.000	1.006	-0.006	-0.006	-0.017	-0.006	-0.006	0.006	23	negative	historical	action	7	positive	historical	action
105.017	0.000	self	1.925	1	0.000	-0.003	0.003	0.003	-0.008	-0.008	-0.003	0.003	22	negative	historical	action	4	positive	historical	romance
116.900	0.000	self	2.048	1	1.000	1.008	-0.008	-0.008	-0.003	-0.008	-0.003	0.003	3	positive	historical	romance	12	positive	futuristic	romance
129.950	0.000	self	2.224	1	1.000	1.000	-0.000	-0.000	-0.011	-0.005	0.000	0.006	12	positive	futuristic	romance	8	positive	historical	action
142.850	0.000	self	2.465	1	0.000	0.014	-0.014	-0.014	0.008	-0.003	-0.003	0.008	7	positive	historical	action	12	positive	futuristic	romance
153.200	0.000	self	2.424	1	0.000	-0.008	0.008	0.008	0.008	-0.003	-0.003	0.008	12	positive	futuristic	romance	17	negative	historical	romance
166.333	0.000	self	1.686	1	0.000	0.008	-0.008	-0.008	0.008	-0.003	-0.003	0.008	22	negative	historical	action	12	positive	futuristic	romance
178.267	0.000	self	1.418	2	1.000	0.992	0.008	-0.008	0.008	-0.003	-0.003	0.008	22	negative	historical	action	11	positive	futuristic	romance
189.884	0.000	self	1.578	1	1.000	0.983	0.017	0.017	0.006	0.000	-0.005	0.011	11	positive	futuristic	romance	4	positive	historical	romance
202.433	0.000	self	2.735	1	0.000	0.025	-0.025	-0.025	-0.009	0.003	-0.008	0.014	23	negative	historical	action	30	negative	futuristic	action
214.100	0.000	self	1.179	1	1.000	1.009	-0.009	-0.009	-0.003	0.003	-0.008	0.014	30	negative	futuristic	action	16	positive	futuristic	action
226.483	0.000	self	1.281	2	1.000	1.000	0.000	-0.022	0.000	0.000	-0.011	0.011	7	positive	historical	action	32	negative	futuristic	action
239.133	0.000	self	1.169	1	0.000	-0.009	0.009	0.009	-0.003	-0.003	-0.014	0.008	32	negative	futuristic	action	17	negative	historical	romance
