onset	duration	trial_type	response_time	choice	outcome	PE	Value_c	Value1	Value2	W1	W2	W3	stim_1	valence_1	setting_1	genre_1	stim_2	valence_2	setting_2	genre_2
4.017	0.000	self	1.358	1	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	26	negative	futuristic	romance	14	positive	futuristic	action
15.533	0.000	self	1.879	2	0.000	0.017	-0.017	-0.050	-0.017	-0.017	-0.017	0.017	6	positive	historical	action	13	positive	futuristic	action
27.650	0.000	self	1.870	1	1.000	1.017	-0.017	-0.017	-0.016	-0.016	-0.017	0.016	2	positive	historical	romance	14	positive	futuristic	action
38.417	0.000	self	1.760	1	0.000	0.034	-0.034	-0.034	0.034	0.001	0.000	0.034	31	negative	futuristic	action	3	positive	historical	romance
52.167	0.000	self	2.244	1	0.000	0.034	-0.034	-0.034	-0.034	-0.000	-0.001	0.033	6	positive	historical	action	23	negative	historical	action
63.733	0.000	self	2.684	2	0.000	0.032	-0.032	-0.033	-0.032	0.001	-0.000	0.032	31	negative	futuristic	action	14	positive	futuristic	action
76.550	0.000	self	2.178	1	0.000	0.032	-0.032	-0.032	-0.034	0.001	-0.001	0.032	32	negative	futuristic	action	22	negative	historical	action
89.283	0.000	self	NaN	NaN	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	positive	historical	romance	9	positive	futuristic	romance
103.750	0.000	self	2.544	1	1.000	1.032	-0.032	-0.032	0.033	0.001	-0.001	0.031	6	positive	historical	action	10	positive	futuristic	romance
118.200	0.000	self	2.185	2	1.000	1.020	-0.020	0.016	-0.020	0.018	0.016	0.014	9	positive	futuristic	romance	28	negative	futuristic	romance
129.233	0.000	self	2.030	1	1.000	0.969	0.031	0.031	-0.031	0.001	-0.001	0.031	3	positive	historical	romance	32	negative	futuristic	action
140.683	0.000	self	NaN	NaN	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	positive	historical	action	3	positive	historical	romance
154.050	0.000	self	1.919	1	1.000	1.049	-0.049	-0.049	-0.080	0.017	0.015	0.047	23	negative	historical	action	31	negative	futuristic	action
167.417	0.000	self	2.207	1	0.000	0.003	-0.003	-0.003	0.004	-0.001	0.033	0.030	26	negative	futuristic	romance	23	negative	historical	action
178.783	0.000	self	1.809	2	1.000	0.996	0.004	0.002	0.004	-0.001	0.033	0.030	7	positive	historical	action	23	negative	historical	action
191.450	0.000	self	0.000	2	1.000	0.920	0.080	-0.045	0.080	-0.017	0.050	0.013	32	negative	futuristic	action	20	negative	historical	romance
203.367	0.000	self	1.808	2	1.000	0.931	0.069	-0.126	0.069	-0.033	0.065	0.029	13	positive	futuristic	action	22	negative	historical	action
215.600	0.000	self	1.873	2	1.000	0.858	0.142	0.019	0.142	-0.048	0.081	0.013	7	positive	historical	action	20	negative	historical	romance
226.383	0.000	self	2.348	2	0.000	0.005	-0.005	0.185	-0.005	-0.063	0.095	0.027	20	negative	historical	romance	28	negative	futuristic	romance
237.650	0.000	self	2.964	1	0.000	0.005	-0.005	-0.005	-0.060	-0.063	0.095	0.027	26	negative	futuristic	romance	32	negative	futuristic	action
249.783	0.000	self	1.381	2	1.000	0.941	0.059	0.004	0.059	-0.063	0.095	0.028	7	positive	historical	action	3	positive	historical	romance
261.350	0.000	self	1.206	1	0.000	-0.115	0.115	0.115	0.020	-0.047	0.111	0.043	22	negative	historical	action	7	positive	historical	action
273.417	0.000	self	1.840	2	0.000	0.018	-0.018	0.109	-0.018	-0.045	0.109	0.045	22	negative	historical	action	26	negative	futuristic	romance
