onset	duration	trial_type	response_time	choice	outcome	PE	Value_c	Value1	Value2	W1	W2	W3	stim_1	valence_1	setting_1	genre_1	stim_2	valence_2	setting_2	genre_2
4.017	0.000	self	1.755	2	1.000	1.208	-0.208	-0.469	-0.208	-0.162	0.338	-0.032	13	positive	futuristic	action	26	negative	futuristic	romance
15.217	0.000	self	1.325	1	1.000	0.875	0.125	0.125	-0.488	-0.182	0.319	-0.012	1	positive	historical	romance	13	positive	futuristic	action
27.450	0.000	self	0.847	1	1.000	0.832	0.168	0.168	-0.498	-0.167	0.333	0.002	1	positive	historical	romance	11	positive	futuristic	romance
39.150	0.000	self	1.094	1	1.000	0.516	0.484	0.484	-0.177	-0.154	0.347	0.016	24	negative	historical	action	26	negative	futuristic	romance
52.833	0.000	self	1.786	1	0.000	-0.525	0.525	0.525	0.510	-0.162	0.355	0.007	17	negative	historical	romance	24	negative	historical	action
65.317	0.000	self	2.570	2	1.000	1.499	-0.499	-0.501	-0.499	-0.154	0.346	-0.001	10	positive	futuristic	romance	14	positive	futuristic	action
76.067	0.000	self	2.464	2	1.000	0.523	0.477	0.218	0.477	-0.129	0.322	-0.026	7	positive	historical	action	21	negative	historical	action
87.533	0.000	self	1.422	1	1.000	0.773	0.227	0.227	-0.502	-0.138	0.330	-0.034	6	positive	historical	action	10	positive	futuristic	romance
99.233	0.000	self	1.433	2	1.000	0.829	0.171	-0.421	0.171	-0.125	0.343	-0.047	14	positive	futuristic	action	1	positive	historical	romance
111.417	0.000	self	0.885	1	1.000	0.565	0.435	0.435	-0.501	-0.112	0.357	-0.033	17	negative	historical	romance	11	positive	futuristic	romance
124.133	0.000	self	0.918	2	1.000	0.779	0.221	-0.221	0.221	-0.121	0.366	-0.024	31	negative	futuristic	action	3	positive	historical	romance
135.833	0.000	self	2.782	2	0.000	-0.282	0.282	0.259	0.282	-0.108	0.379	-0.011	1	positive	historical	romance	6	positive	historical	action
146.783	0.000	self	1.581	1	1.000	0.507	0.493	0.493	-0.255	-0.113	0.374	-0.007	24	negative	historical	action	29	negative	futuristic	action
160.217	0.000	self	1.002	1	1.000	0.482	0.518	0.518	-0.518	-0.121	0.382	-0.015	24	negative	historical	action	10	positive	futuristic	romance
172.600	0.000	self	1.049	1	1.000	0.716	0.284	0.284	-0.542	-0.129	0.390	-0.023	7	positive	historical	action	10	positive	futuristic	romance
184.283	0.000	self	1.340	2	1.000	0.750	0.250	-0.319	0.250	-0.117	0.402	-0.035	27	negative	futuristic	romance	3	positive	historical	romance
196.933	0.000	self	NaN	NaN	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13	positive	futuristic	action	11	positive	futuristic	romance
