onset	duration	trial_type	response_time	choice	outcome	PE	Value_c	Value1	Value2	W1	W2	W3	stim_1	valence_1	setting_1	genre_1	stim_2	valence_2	setting_2	genre_2
4.017	0.000	self	2.755	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	26	negative	futuristic	romance	15	positive	futuristic	action
17.100	0.000	self	2.370	1	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	5	positive	historical	action	14	positive	futuristic	action
28.433	0.000	self	2.234	1	1.000	0.989	0.011	0.011	0.011	0.011	0.011	-0.011	3	positive	historical	romance	15	positive	futuristic	action
40.267	0.000	self	1.843	1	0.000	0.045	-0.045	-0.045	0.045	0.022	0.022	-0.000	30	negative	futuristic	action	4	positive	historical	romance
54.383	0.000	self	2.455	1	0.000	-0.045	0.045	0.045	0.001	0.022	0.022	-0.001	5	positive	historical	action	24	negative	historical	action
66.383	0.000	self	2.303	1	1.000	1.043	-0.043	-0.043	0.000	0.021	0.021	-0.000	30	negative	futuristic	action	15	positive	futuristic	action
78.267	0.000	self	NaN	NaN	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32	negative	futuristic	action	23	negative	historical	action
92.050	0.000	self	1.965	2	0.000	0.012	-0.012	0.007	-0.012	0.010	0.010	-0.012	3	positive	historical	romance	9	positive	futuristic	romance
105.017	0.000	self	1.725	1	1.000	0.969	0.031	0.031	-0.012	0.010	0.010	-0.012	5	positive	historical	action	11	positive	futuristic	romance
116.900	0.000	self	2.083	2	1.000	1.064	-0.064	-0.022	-0.064	0.021	0.021	-0.023	9	positive	futuristic	romance	27	negative	futuristic	romance
129.950	0.000	self	2.339	2	0.000	0.007	-0.007	0.007	-0.007	0.009	0.008	-0.011	4	positive	historical	romance	32	negative	futuristic	action
142.850	0.000	self	2.104	1	1.000	0.972	0.028	0.028	0.006	0.009	0.008	-0.011	5	positive	historical	action	4	positive	historical	romance
153.200	0.000	self	1.591	1	1.000	0.978	0.022	0.022	-0.017	0.020	0.019	-0.022	24	negative	historical	action	30	negative	futuristic	action
166.333	0.000	self	1.895	2	1.000	0.945	0.055	-0.072	0.055	0.009	0.030	-0.033	26	negative	futuristic	romance	24	negative	historical	action
178.267	0.000	self	NaN	NaN	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	positive	historical	action	24	negative	historical	action
189.884	0.000	self	NaN	NaN	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32	negative	futuristic	action	18	negative	historical	romance
202.433	0.000	self	2.405	2	1.000	0.913	0.087	0.000	0.087	-0.002	0.041	-0.044	14	positive	futuristic	action	23	negative	historical	action
214.100	0.000	self	1.519	1	0.000	-0.093	0.093	0.093	0.010	-0.012	0.051	-0.054	6	positive	historical	action	18	negative	historical	romance
226.483	0.000	self	2.706	2	0.000	0.090	-0.090	0.011	-0.090	-0.013	0.050	-0.053	18	negative	historical	romance	27	negative	futuristic	romance
239.133	0.000	self	1.391	2	1.000	0.983	0.017	-0.087	0.017	-0.014	0.049	-0.052	26	negative	futuristic	romance	32	negative	futuristic	action
252.000	0.000	self	1.254	2	1.000	1.050	-0.050	0.076	-0.050	-0.026	0.038	-0.063	6	positive	historical	action	4	positive	historical	romance
264.150	0.000	self	1.733	2	1.000	0.913	0.087	0.115	0.087	-0.014	0.050	-0.051	23	negative	historical	action	6	positive	historical	action
277.433	0.000	self	1.836	1	1.000	0.875	0.125	0.125	-0.118	-0.003	0.060	-0.061	23	negative	historical	action	26	negative	futuristic	romance
289.417	0.000	self	1.747	2	1.000	0.845	0.155	-0.128	0.155	-0.013	0.070	-0.071	27	negative	futuristic	romance	24	negative	historical	action
299.750	0.000	self	1.499	2	1.000	0.978	0.022	-0.022	0.022	-0.023	0.080	-0.081	15	positive	futuristic	action	18	negative	historical	romance
312.150	0.000	self	1.330	2	0.000	-0.127	0.127	0.195	0.127	-0.034	0.091	-0.070	23	negative	historical	action	5	positive	historical	action
