onset	duration	trial_type	response_time	choice	outcome	PE	Value_c	Value1	Value2	W1	W2	W3	stim_1	valence_1	setting_1	genre_1	stim_2	valence_2	setting_2	genre_2
4.017	0.000	self	1.569	1	0.000	0.003	-0.003	-0.003	0.083	-0.014	-0.030	0.040	3	positive	historical	romance	26	negative	futuristic	romance
15.183	0.000	self	1.579	1	1.000	0.997	0.003	0.003	-0.056	-0.013	-0.030	0.040	30	negative	futuristic	action	22	negative	historical	action
28.317	0.000	self	2.147	1	1.000	0.979	0.021	0.021	0.054	-0.016	-0.033	0.037	19	negative	historical	romance	12	positive	futuristic	romance
40.417	0.000	self	1.434	1	0.000	0.009	-0.009	-0.009	0.030	-0.019	-0.030	0.040	4	positive	historical	romance	17	negative	historical	romance
51.383	0.000	self	1.543	1	1.000	0.911	0.089	0.089	-0.089	-0.019	-0.030	0.040	26	negative	futuristic	romance	8	positive	historical	action
62.283	0.000	self	1.000	2	1.000	0.903	0.097	-0.097	0.097	-0.022	-0.032	0.043	7	positive	historical	action	25	negative	futuristic	romance
74.867	0.000	self	1.730	2	0.000	0.035	-0.035	-0.056	-0.035	-0.024	-0.035	0.045	23	negative	historical	action	16	positive	futuristic	action
88.000	0.000	self	1.871	1	1.000	0.966	0.034	0.034	0.014	-0.024	-0.035	0.045	17	negative	historical	romance	30	negative	futuristic	action
100.733	0.000	self	1.051	1	1.000	0.947	0.053	0.053	-0.011	-0.027	-0.032	0.048	11	positive	futuristic	romance	3	positive	historical	romance
111.500	0.000	self	1.128	1	1.000	1.008	-0.008	-0.008	-0.110	-0.024	-0.035	0.051	4	positive	historical	romance	8	positive	historical	action
125.850	0.000	self	1.798	2	1.000	1.064	-0.064	-0.107	-0.064	-0.021	-0.032	0.054	7	positive	historical	action	22	negative	historical	action
137.983	0.000	self	1.725	1	0.000	0.046	-0.046	-0.046	-0.055	-0.024	-0.029	0.051	14	positive	futuristic	action	22	negative	historical	action
151.900	0.000	self	0.969	2	0.000	-0.055	0.055	0.045	0.055	-0.024	-0.029	0.050	19	negative	historical	romance	11	positive	futuristic	romance
164.100	0.000	self	1.046	1	1.000	0.945	0.055	0.055	-0.046	-0.024	-0.029	0.050	11	positive	futuristic	romance	16	positive	futuristic	action
176.000	0.000	self	1.762	2	1.000	0.894	0.106	0.000	0.106	-0.022	-0.032	0.053	32	negative	futuristic	action	26	negative	futuristic	romance
189.300	0.000	self	1.346	2	1.000	1.003	-0.003	-0.045	-0.003	-0.024	-0.034	0.055	16	positive	futuristic	action	3	positive	historical	romance
200.133	0.000	self	1.023	1	0.000	0.048	-0.048	-0.048	-0.111	-0.021	-0.031	0.058	16	positive	futuristic	action	8	positive	historical	action
214.100	0.000	self	1.218	2	1.000	0.952	0.048	-0.048	0.048	-0.021	-0.032	0.058	16	positive	futuristic	action	17	negative	historical	romance
227.533	0.000	self	1.357	1	1.000	0.992	0.008	0.008	-0.056	-0.024	-0.029	0.061	4	positive	historical	romance	16	positive	futuristic	action
240.517	0.000	self	1.381	2	1.000	0.889	0.111	0.017	0.111	-0.021	-0.026	0.064	4	positive	historical	romance	25	negative	futuristic	romance
253.167	0.000	self	1.592	2	0.000	0.071	-0.071	0.061	-0.071	-0.024	-0.029	0.066	19	negative	historical	romance	23	negative	historical	action
265.950	0.000	self	1.288	2	1.000	0.986	0.014	-0.118	0.014	-0.024	-0.028	0.066	7	positive	historical	action	3	positive	historical	romance
278.934	0.000	self	0.910	1	1.000	0.885	0.115	0.115	-0.073	-0.021	-0.026	0.069	25	negative	futuristic	romance	22	negative	historical	action
292.983	0.000	self	0.925	2	1.000	0.924	0.076	-0.123	0.076	-0.024	-0.028	0.071	8	positive	historical	action	11	positive	futuristic	romance
307.550	0.000	self	1.853	1	0.000	0.064	-0.064	-0.064	0.126	-0.021	-0.031	0.074	16	positive	futuristic	action	26	negative	futuristic	romance
318.433	0.000	self	1.473	1	1.000	0.875	0.125	0.125	-0.084	-0.021	-0.031	0.074	26	negative	futuristic	romance	23	negative	historical	action
329.767	0.000	self	1.206	2	1.000	1.020	-0.020	-0.066	-0.020	-0.023	-0.033	0.076	14	positive	futuristic	action	32	negative	futuristic	action
340.350	0.000	self	1.426	2	1.000	0.989	0.011	-0.011	0.011	-0.026	-0.036	0.073	32	negative	futuristic	action	3	positive	historical	romance
