onset	duration	trial_type	response_time	choice	outcome	PE	Value_c	Value1	Value2	W1	W2	W3	stim_1	valence_1	setting_1	genre_1	stim_2	valence_2	setting_2	genre_2
4.017	0.000	self	2.003	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11	positive	futuristic	romance	18	negative	historical	romance
15.683	0.000	self	1.648	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3	positive	historical	romance	26	negative	futuristic	romance
27.700	0.000	self	2.491	1	1.000	1.000	0.000	0.000	-0.000	0.000	0.000	0.000	6	positive	historical	action	31	negative	futuristic	action
38.467	0.000	self	2.052	2	1.000	1.016	-0.016	0.016	-0.016	0.016	0.016	-0.016	14	positive	futuristic	action	29	negative	futuristic	action
50.883	0.000	self	2.449	1	1.000	0.967	0.033	0.033	0.033	-0.000	-0.000	-0.033	21	negative	historical	action	13	positive	futuristic	action
63.800	0.000	self	1.194	2	1.000	0.952	0.048	-0.080	0.048	-0.016	0.016	-0.049	11	positive	futuristic	romance	6	positive	historical	action
77.267	0.000	self	1.858	1	1.000	1.095	-0.095	-0.095	0.033	-0.001	0.031	-0.064	27	negative	futuristic	romance	14	positive	futuristic	action
88.300	0.000	self	1.995	1	1.000	1.015	-0.015	-0.015	0.078	-0.018	0.013	-0.046	18	negative	historical	romance	24	negative	historical	action
101.083	0.000	self	2.173	2	1.000	0.905	0.095	-0.095	0.095	-0.035	0.030	-0.030	10	positive	futuristic	romance	21	negative	historical	action
114.850	0.000	self	1.505	2	1.000	0.950	0.050	-0.050	0.050	-0.050	0.045	-0.045	14	positive	futuristic	action	17	negative	historical	romance
127.033	0.000	self	1.488	2	0.000	0.155	-0.155	0.034	-0.155	-0.065	0.060	-0.029	31	negative	futuristic	action	11	positive	futuristic	romance
138.267	0.000	self	2.456	1	0.000	0.147	-0.147	-0.147	-0.021	-0.063	0.058	-0.027	11	positive	futuristic	romance	26	negative	futuristic	romance
150.883	0.000	self	1.942	2	1.000	0.909	0.091	0.019	0.091	-0.060	0.055	-0.024	6	positive	historical	action	18	negative	historical	romance
162.767	0.000	self	2.281	2	1.000	0.845	0.155	0.004	0.155	-0.075	0.070	-0.009	6	positive	historical	action	21	negative	historical	action
175.317	0.000	self	2.287	2	1.000	0.804	0.196	0.028	0.196	-0.089	0.084	-0.023	31	negative	futuristic	action	24	negative	historical	action
188.433	0.000	self	1.220	1	1.000	0.958	0.042	0.042	-0.236	-0.102	0.097	-0.036	29	negative	futuristic	action	11	positive	futuristic	romance
200.717	0.000	self	2.911	2	0.000	0.251	-0.251	-0.147	-0.251	-0.118	0.081	-0.052	13	positive	futuristic	action	10	positive	futuristic	romance
214.283	0.000	self	NaN	NaN	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31	negative	futuristic	action	13	positive	futuristic	action
225.917	0.000	self	1.398	1	1.000	1.084	-0.084	-0.084	0.084	-0.114	0.077	-0.048	3	positive	historical	romance	29	negative	futuristic	action
236.983	0.000	self	1.209	1	1.000	0.779	0.221	0.221	-0.221	-0.096	0.095	-0.030	24	negative	historical	action	11	positive	futuristic	romance
249.967	0.000	self	1.968	2	1.000	0.958	0.042	-0.174	0.042	-0.109	0.108	-0.043	13	positive	futuristic	action	7	positive	historical	action
263.917	0.000	self	2.539	1	1.000	1.089	-0.089	-0.089	-0.275	-0.093	0.123	-0.059	27	negative	futuristic	romance	11	positive	futuristic	romance
274.950	0.000	self	1.300	1	1.000	1.035	-0.035	-0.035	-0.257	-0.111	0.106	-0.041	27	negative	futuristic	romance	10	positive	futuristic	romance
287.867	0.000	self	NaN	NaN	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27	negative	futuristic	romance	21	negative	historical	action
300.617	0.000	self	1.173	2	0.000	0.063	-0.063	0.063	-0.063	-0.128	0.089	-0.024	29	negative	futuristic	action	1	positive	historical	romance
312.767	0.000	self	2.156	1	1.000	0.806	0.194	0.194	-0.014	-0.127	0.090	-0.023	17	negative	historical	romance	6	positive	historical	action
323.950	0.000	self	1.438	1	1.000	0.767	0.233	0.233	0.028	-0.140	0.103	-0.010	17	negative	historical	romance	27	negative	futuristic	romance
337.167	0.000	self	2.064	2	1.000	0.966	0.034	-0.271	0.034	-0.153	0.115	0.003	13	positive	futuristic	action	29	negative	futuristic	action
348.567	0.000	self	1.354	2	1.000	0.719	0.281	0.082	0.281	-0.168	0.100	-0.013	31	negative	futuristic	action	21	negative	historical	action
361.000	0.000	self	1.689	1	1.000	1.093	-0.093	-0.093	-0.316	-0.180	0.111	-0.025	3	positive	historical	romance	10	positive	futuristic	romance
373.800	0.000	self	2.832	2	1.000	0.702	0.298	-0.040	0.298	-0.162	0.129	-0.007	3	positive	historical	romance	21	negative	historical	action
385.083	0.000	self	1.490	2	1.000	1.051	-0.051	-0.296	-0.051	-0.174	0.141	-0.018	13	positive	futuristic	action	3	positive	historical	romance
398.600	0.000	self	1.169	2	1.000	1.000	-0.000	-0.316	-0.000	-0.157	0.158	-0.001	10	positive	futuristic	romance	29	negative	futuristic	action
409.867	0.000	self	0.974	2	1.000	0.668	0.332	-0.297	0.332	-0.173	0.142	-0.017	14	positive	futuristic	action	21	negative	historical	action
421.534	0.000	self	2.968	1	0.000	0.365	-0.365	-0.365	0.060	-0.184	0.153	-0.028	10	positive	futuristic	romance	31	negative	futuristic	action
