onset	duration	trial_type	response_time	choice	outcome	PE	Value_c	Value1	Value2	W1	W2	W3	stim_1	valence_1	setting_1	genre_1	stim_2	valence_2	setting_2	genre_2
4.014	0.000	self	2.140	1	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	22	negative	historical	action	11	positive	futuristic	romance
16.630	0.000	self	1.724	2	1.000	0.974	0.026	-0.026	0.026	-0.026	0.026	-0.026	16	positive	futuristic	action	7	positive	historical	action
28.881	0.000	self	1.508	2	1.000	0.899	0.101	-0.101	0.101	-0.001	0.051	-0.051	28	negative	futuristic	romance	7	positive	historical	action
41.897	0.000	self	1.179	1	1.000	0.874	0.126	0.126	-0.126	0.023	0.074	-0.074	23	negative	historical	action	9	positive	futuristic	romance
54.047	0.000	self	2.886	2	1.000	1.000	0.000	-0.000	0.000	-0.000	0.097	-0.097	16	positive	futuristic	action	29	negative	futuristic	action
66.881	0.000	self	1.501	2	1.000	0.832	0.168	0.026	0.168	-0.026	0.071	-0.123	14	positive	futuristic	action	7	positive	historical	action
79.264	0.000	self	2.937	2	0.000	0.047	-0.047	-0.056	-0.047	-0.004	0.093	-0.144	2	positive	historical	romance	19	negative	historical	romance
91.714	0.000	self	1.938	2	0.000	-0.044	0.044	-0.044	0.044	-0.006	0.094	-0.143	19	negative	historical	romance	16	positive	futuristic	action
102.914	0.000	self	2.101	1	1.000	0.770	0.230	0.230	-0.230	-0.007	0.095	-0.142	7	positive	historical	action	27	negative	futuristic	romance
113.997	0.000	self	1.275	1	1.000	0.710	0.290	0.290	-0.263	0.013	0.115	-0.162	7	positive	historical	action	11	positive	futuristic	romance
126.264	0.000	self	NaN	NaN	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14	positive	futuristic	action	30	negative	futuristic	action
138.764	0.000	self	1.823	2	1.000	1.282	-0.282	0.079	-0.282	0.032	0.133	-0.180	14	positive	futuristic	action	9	positive	futuristic	romance
150.064	0.000	self	1.443	1	1.000	0.818	0.182	0.182	-0.018	0.065	0.100	-0.147	23	negative	historical	action	29	negative	futuristic	action
161.114	0.000	self	2.645	2	1.000	0.909	0.091	0.003	0.091	0.044	0.121	-0.168	30	negative	futuristic	action	16	positive	futuristic	action
172.781	0.000	self	1.391	1	1.000	0.644	0.356	0.356	0.027	0.067	0.098	-0.192	7	positive	historical	action	30	negative	futuristic	action
184.731	0.000	self	1.915	1	1.000	0.594	0.406	0.406	-0.178	0.084	0.114	-0.208	6	positive	historical	action	20	negative	historical	romance
198.081	0.000	self	2.187	1	1.000	0.995	0.005	0.005	0.193	0.099	0.130	-0.224	4	positive	historical	romance	14	positive	futuristic	action
