onset	duration	trial_type	rt	choice	outcome	PE	Value1	Value2	Value_c	W1	W2	W3
4.017	0.000	self	2.256	2	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
16.500	0.000	self	1.182	2	0.000	-0.012	-0.012	0.012	0.012	-0.012	0.012	-0.012
27.583	0.000	self	1.273	1	1.000	1.012	-0.012	0.011	-0.012	-0.012	0.012	-0.012
39.617	0.000	self	1.614	2	0.000	-0.023	-0.024	0.023	0.023	0.000	0.024	0.000
52.617	0.000	self	1.608	1	0.000	0.023	-0.023	0.024	-0.023	0.001	0.023	-0.000
65.150	0.000	self	1.157	2	0.000	0.024	0.022	-0.024	-0.024	0.001	0.023	-0.000
75.900	0.000	self	1.079	2	1.000	0.977	-0.024	0.023	0.023	0.001	0.023	-0.000
89.033	0.000	self	1.113	1	1.000	1.034	-0.034	0.058	-0.034	-0.011	0.035	-0.012
100.433	0.000	self	1.485	2	1.000	1.045	-0.003	-0.045	-0.045	0.001	0.022	-0.024
113.300	0.000	self	1.330	1	1.000	1.016	-0.016	-0.035	-0.016	0.014	0.010	-0.012
125.767	0.000	self	2.059	2	1.000	0.980	-0.024	0.020	0.020	0.002	0.022	0.000
138.033	0.000	self	1.454	2	1.000	0.965	-0.035	0.035	0.035	-0.010	0.034	-0.011
152.167	0.000	self	1.963	2	0.000	0.024	0.021	-0.024	-0.024	0.001	0.045	-0.023
162.850	0.000	self	1.332	1	1.000	0.931	0.069	-0.023	0.069	0.001	0.045	-0.023
175.767	0.000	self	1.828	1	1.000	0.966	0.034	-0.034	0.034	0.012	0.056	-0.034
187.367	0.000	self	1.323	2	1.000	1.021	-0.114	-0.021	-0.021	0.024	0.067	-0.023
200.183	0.000	self	1.406	2	1.000	0.874	0.054	0.126	0.126	0.036	0.055	-0.035
211.850	0.000	self	2.724	2	0.000	0.026	-0.065	-0.026	-0.026	0.046	0.066	-0.045
224.083	0.000	self	1.051	1	0.000	0.065	-0.065	0.065	-0.065	0.046	0.066	-0.045
236.767	0.000	self	1.175	1	1.000	0.974	0.026	-0.063	0.026	0.047	0.065	-0.044
248.067	0.000	self	2.149	2	0.000	0.051	0.056	-0.051	-0.051	0.058	0.054	-0.056
259.517	0.000	self	0.990	2	1.000	0.833	0.057	0.167	0.167	0.059	0.053	-0.055
271.133	0.000	self	1.554	1	1.000	0.941	0.059	-0.197	0.059	0.069	0.063	-0.065
283.450	0.000	self	1.211	2	1.000	1.060	-0.055	-0.060	-0.060	0.058	0.074	-0.076
295.800	0.000	self	1.228	1	1.000	0.978	0.022	-0.195	0.022	0.045	0.087	-0.064
308.783	0.000	self	1.651	2	1.000	1.094	-0.056	-0.094	-0.094	0.057	0.075	-0.075
322.167	0.000	self	0.980	1	1.000	0.930	0.070	-0.194	0.070	0.070	0.062	-0.062
334.500	0.000	self	1.831	2	0.000	-0.044	0.058	0.044	0.044	0.081	0.051	-0.073
345.367	0.000	self	0.878	2	1.000	0.941	-0.204	0.059	0.059	0.081	0.050	-0.073
355.733	0.000	self	2.281	1	0.000	0.092	-0.092	0.092	-0.092	0.092	0.062	-0.062
365.983	0.000	self	2.094	2	1.000	0.786	-0.093	0.214	0.214	0.091	0.060	-0.063
376.333	0.000	self	0.831	2	1.000	1.041	-0.242	-0.041	-0.041	0.101	0.070	-0.072
390.000	0.000	self	1.196	2	1.000	0.885	-0.111	0.115	0.115	0.113	0.057	-0.060
402.167	0.000	self	1.820	1	1.000	1.006	-0.006	-0.147	-0.006	0.124	0.047	-0.070
412.533	0.000	self	1.037	1	1.000	1.135	-0.135	-0.253	-0.135	0.112	0.059	-0.082
424.333	0.000	self	1.722	1	1.000	0.761	0.239	-0.043	0.239	0.098	0.072	-0.069
436.450	0.000	self	2.482	2	0.000	0.103	-0.052	-0.103	-0.103	0.107	0.081	-0.078
449.500	0.000	self	1.750	1	0.000	-0.100	0.100	0.265	0.100	0.106	0.083	-0.076
460.717	0.000	self	1.800	1	0.000	-0.054	0.054	0.096	0.054	0.105	0.084	-0.075
472.833	0.000	self	2.741	2	1.000	0.903	0.052	0.097	0.097	0.105	0.083	-0.075
486.483	0.000	self	2.133	2	1.000	0.897	-0.129	0.103	0.103	0.116	0.072	-0.085
497.417	0.000	self	1.704	1	0.000	0.135	-0.135	0.285	-0.135	0.127	0.083	-0.075
510.050	0.000	self	1.526	1	1.000	0.717	0.283	0.033	0.283	0.125	0.082	-0.076
521.433	0.000	self	1.276	1	1.000	1.041	-0.041	-0.139	-0.041	0.134	0.090	-0.085
533.000	0.000	self	1.130	1	0.000	-0.141	0.141	0.296	0.141	0.146	0.078	-0.072
546.150	0.000	self	0.826	1	1.000	1.006	-0.006	-0.294	-0.006	0.144	0.079	-0.071
558.117	0.000	self	1.918	2	1.000	1.030	-0.148	-0.030	-0.030	0.156	0.067	-0.059
569.450	0.000	self	2.107	1	0.000	0.153	-0.153	-0.295	-0.153	0.144	0.080	-0.071
581.500	0.000	self	1.802	1	1.000	0.853	0.147	0.008	0.147	0.142	0.078	-0.073
593.450	0.000	self	1.341	1	1.000	1.002	-0.002	-0.303	-0.002	0.152	0.088	-0.063
607.217	0.000	self	1.345	1	1.000	0.885	0.115	-0.166	0.115	0.140	0.100	-0.075
618.400	0.000	self	1.868	1	0.000	-0.147	0.147	0.155	0.147	0.151	0.089	-0.085
629.067	0.000	self	1.134	1	0.000	0.157	-0.157	-0.324	-0.157	0.149	0.091	-0.083
641.283	0.000	self	1.364	1	1.000	0.678	0.322	-0.322	0.322	0.147	0.089	-0.085
654.100	0.000	self	2.422	2	1.000	0.654	0.159	0.346	0.346	0.155	0.097	-0.093
666.017	0.000	self	1.794	1	1.000	0.841	0.159	-0.167	0.159	0.163	0.105	-0.101
