onset	duration	trial_type	response_time	choice	outcome	PE	Value_c	Value1	Value2	W1	W2	W3	stim_1	valence_1	setting_1	genre_1	stim_2	valence_2	setting_2	genre_2
4.014	0.000	self	2.452	2	1.000	0.605	0.395	-0.303	0.395	0.188	0.349	0.141	15	positive	futuristic	action	6	positive	historical	action
14.648	0.000	self	1.181	1	1.000	0.306	0.694	0.694	-0.694	0.204	0.365	0.126	2	positive	historical	romance	31	negative	futuristic	action
27.998	0.000	self	1.338	1	0.000	0.028	-0.028	-0.028	0.028	0.212	0.373	0.134	10	positive	futuristic	romance	22	negative	historical	action
40.381	0.000	self	1.128	2	1.000	0.974	0.026	-0.719	0.026	0.212	0.373	0.134	31	negative	futuristic	action	22	negative	historical	action
52.531	0.000	self	1.154	1	1.000	0.306	0.694	0.694	0.103	0.187	0.398	0.109	4	positive	historical	romance	21	negative	historical	action
63.998	0.000	self	1.187	2	1.000	0.905	0.095	-0.095	0.095	0.195	0.407	0.117	9	positive	futuristic	romance	22	negative	historical	action
75.864	0.000	self	1.378	1	1.000	1.167	-0.167	-0.167	-0.508	0.171	0.430	0.093	9	positive	futuristic	romance	25	negative	futuristic	romance
86.681	0.000	self	2.426	1	1.000	0.926	0.074	0.074	-0.074	0.202	0.400	0.124	21	negative	historical	action	9	positive	futuristic	romance
100.448	0.000	self	1.195	2	1.000	0.498	0.502	-0.502	0.502	0.177	0.424	0.099	25	negative	futuristic	romance	5	positive	historical	action
113.581	0.000	self	1.713	2	1.000	0.286	0.714	0.161	0.714	0.190	0.437	0.086	21	negative	historical	action	2	positive	historical	romance
124.031	0.000	self	1.654	1	1.000	0.660	0.340	0.340	-0.549	0.198	0.445	0.094	18	negative	historical	romance	25	negative	futuristic	romance
137.198	0.000	self	1.463	2	1.000	0.468	0.532	0.393	0.532	0.180	0.462	0.111	18	negative	historical	romance	5	positive	historical	action
148.831	0.000	self	1.232	2	1.000	0.234	0.766	-0.380	0.766	0.193	0.475	0.099	13	positive	futuristic	action	4	positive	historical	romance
163.098	0.000	self	1.695	1	0.000	-0.785	0.785	0.785	0.575	0.199	0.481	0.105	2	positive	historical	romance	6	positive	historical	action
176.314	0.000	self	1.008	2	1.000	0.278	0.722	-0.198	0.722	0.178	0.460	0.084	10	positive	futuristic	romance	4	positive	historical	romance
187.598	0.000	self	1.581	2	1.000	1.373	-0.373	-0.190	-0.373	0.186	0.467	0.091	9	positive	futuristic	romance	15	positive	futuristic	action
201.881	0.000	self	NaN	NaN	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18	negative	historical	romance	22	negative	historical	action
213.981	0.000	self	1.380	2	1.000	0.402	0.598	-0.708	0.598	0.222	0.431	0.055	31	negative	futuristic	action	5	positive	historical	action
226.831	0.000	self	1.306	1	1.000	0.746	0.254	0.254	-0.165	0.233	0.442	0.044	17	negative	historical	romance	10	positive	futuristic	romance
240.248	0.000	self	1.229	1	1.000	0.390	0.610	0.610	-0.313	0.213	0.461	0.064	6	positive	historical	action	13	positive	futuristic	action
251.548	0.000	self	1.194	1	1.000	1.303	-0.303	-0.303	-0.641	0.223	0.472	0.054	13	positive	futuristic	action	25	negative	futuristic	romance
263.948	0.000	self	1.099	1	1.000	1.199	-0.199	-0.199	-0.714	0.258	0.437	0.019	15	positive	futuristic	action	31	negative	futuristic	action
275.464	0.000	self	1.515	2	1.000	1.129	-0.129	-0.707	-0.129	0.289	0.406	-0.012	28	negative	futuristic	romance	10	positive	futuristic	romance
287.531	0.000	self	0.898	1	1.000	0.287	0.713	0.713	-0.039	0.319	0.376	0.018	4	positive	historical	romance	9	positive	futuristic	romance
300.314	0.000	self	1.065	1	1.000	0.968	0.032	0.032	-0.082	0.327	0.383	0.025	22	negative	historical	action	13	positive	futuristic	action
311.781	0.000	self	1.784	2	1.000	0.892	0.108	0.108	0.108	0.301	0.409	-0.000	21	negative	historical	action	17	negative	historical	romance
322.431	0.000	self	1.533	1	0.000	-0.178	0.178	0.178	0.733	0.277	0.433	0.023	17	negative	historical	romance	4	positive	historical	romance
332.614	0.000	self	1.633	2	0.000	0.127	-0.127	0.127	-0.127	0.282	0.428	0.018	21	negative	historical	action	10	positive	futuristic	romance
345.281	0.000	self	2.152	1	0.000	0.117	-0.117	-0.117	-0.161	0.286	0.425	0.022	9	positive	futuristic	romance	13	positive	futuristic	action
356.231	0.000	self	NaN	NaN	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18	negative	historical	romance	29	negative	futuristic	action
367.498	0.000	self	1.057	1	1.000	1.158	-0.158	-0.158	-0.735	0.289	0.421	0.025	13	positive	futuristic	action	29	negative	futuristic	action
380.014	0.000	self	0.886	2	0.000	0.704	-0.704	-0.716	-0.704	0.319	0.391	-0.006	25	negative	futuristic	romance	29	negative	futuristic	action
393.698	0.000	self	1.185	2	0.000	0.047	-0.047	0.096	-0.047	0.301	0.372	-0.024	22	negative	historical	action	15	positive	futuristic	action
406.264	0.000	self	1.495	2	1.000	0.302	0.698	-0.044	0.698	0.302	0.371	-0.026	15	positive	futuristic	action	5	positive	historical	action
417.564	0.000	self	1.441	1	0.000	-0.036	0.036	0.036	0.655	0.310	0.379	-0.033	17	negative	historical	romance	2	positive	historical	romance
429.314	0.000	self	1.159	2	1.000	0.277	0.723	-0.102	0.723	0.311	0.378	-0.034	9	positive	futuristic	romance	5	positive	historical	action
442.514	0.000	self	1.185	1	1.000	0.338	0.662	0.662	-0.745	0.318	0.385	-0.042	4	positive	historical	romance	28	negative	futuristic	romance
454.064	0.000	self	1.374	1	1.000	0.311	0.689	0.689	0.034	0.327	0.394	-0.033	2	positive	historical	romance	18	negative	historical	romance
467.264	0.000	self	0.925	1	1.000	0.957	0.043	0.043	-0.713	0.335	0.402	-0.025	17	negative	historical	romance	29	negative	futuristic	action
479.648	0.000	self	1.484	1	1.000	1.119	-0.119	-0.119	-0.737	0.310	0.428	0.001	13	positive	futuristic	action	28	negative	futuristic	romance
490.748	0.000	self	1.118	1	1.000	0.233	0.767	0.767	0.030	0.340	0.398	-0.029	5	positive	historical	action	17	negative	historical	romance
503.648	0.000	self	1.150	1	1.000	0.976	0.024	0.024	-0.024	0.346	0.404	-0.035	17	negative	historical	romance	13	positive	futuristic	action
515.881	0.000	self	1.283	2	0.000	0.741	-0.741	0.119	-0.741	0.320	0.430	-0.009	21	negative	historical	action	29	negative	futuristic	action
527.731	0.000	self	1.545	2	1.000	0.260	0.740	0.081	0.740	0.300	0.411	-0.029	17	negative	historical	romance	6	positive	historical	action
541.681	0.000	self	1.006	1	1.000	0.311	0.689	0.689	-0.075	0.307	0.417	-0.036	4	positive	historical	romance	15	positive	futuristic	action
552.664	0.000	self	1.354	2	1.000	1.083	-0.083	-0.769	-0.083	0.315	0.426	-0.027	28	negative	futuristic	romance	15	positive	futuristic	action
563.481	0.000	self	1.054	2	1.000	1.003	-0.003	-0.685	-0.003	0.344	0.397	-0.056	31	negative	futuristic	action	17	negative	historical	romance
575.414	0.000	self	0.926	1	1.000	0.229	0.771	0.771	-0.136	0.318	0.424	-0.030	6	positive	historical	action	10	positive	futuristic	romance
586.698	0.000	self	0.981	1	1.000	0.211	0.789	0.789	-0.789	0.324	0.430	-0.036	6	positive	historical	action	25	negative	futuristic	romance
598.314	0.000	self	0.822	1	1.000	0.194	0.806	0.806	-0.723	0.329	0.435	-0.041	6	positive	historical	action	29	negative	futuristic	action
609.514	0.000	self	0.965	2	1.000	1.152	-0.152	-0.728	-0.152	0.334	0.440	-0.046	31	negative	futuristic	action	9	positive	futuristic	romance
622.164	0.000	self	0.935	2	1.000	0.209	0.791	-0.759	0.791	0.365	0.410	-0.016	29	negative	futuristic	action	5	positive	historical	action
