onset	duration	trial_type	response_time	choice	outcome	PE	Value_c	Value1	Value2	W1	W2	W3	stim_1	valence_1	setting_1	genre_1	stim_2	valence_2	setting_2	genre_2
4.017	0.000	self	2.092	2	1.000	0.961	0.039	-0.508	0.039	-0.156	0.273	0.078	14	positive	futuristic	action	7	positive	historical	action
14.650	0.000	self	1.155	1	1.000	0.788	0.212	0.212	-0.212	-0.140	0.290	0.062	2	positive	historical	romance	32	negative	futuristic	action
28.000	0.000	self	1.120	2	1.000	0.646	0.354	-0.354	0.354	-0.127	0.303	0.076	10	positive	futuristic	romance	23	negative	historical	action
40.383	0.000	self	0.903	2	1.000	0.613	0.387	-0.241	0.387	-0.138	0.314	0.065	32	negative	futuristic	action	23	negative	historical	action
52.533	0.000	self	NaN	NaN	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	positive	historical	romance	22	negative	historical	action
64.000	0.000	self	1.405	2	1.000	0.582	0.418	-0.418	0.418	-0.148	0.324	0.054	9	positive	futuristic	romance	23	negative	historical	action
75.867	0.000	self	2.083	2	1.000	1.131	-0.131	-0.447	-0.131	-0.158	0.334	0.045	9	positive	futuristic	romance	26	negative	futuristic	romance
86.683	0.000	self	0.957	1	1.000	0.572	0.428	0.428	-0.428	-0.177	0.315	0.064	22	negative	historical	action	9	positive	futuristic	romance
100.433	0.000	self	1.825	2	1.000	0.916	0.084	-0.084	0.084	-0.186	0.324	0.054	26	negative	futuristic	romance	6	positive	historical	action
113.583	0.000	self	2.051	1	1.000	0.528	0.472	0.472	0.207	-0.171	0.340	0.039	22	negative	historical	action	2	positive	historical	romance
124.033	0.000	self	1.651	1	1.000	0.442	0.558	0.558	-0.139	-0.180	0.349	0.030	20	negative	historical	romance	26	negative	futuristic	romance
137.200	0.000	self	1.239	1	1.000	0.419	0.581	0.581	0.131	-0.187	0.356	0.037	20	negative	historical	romance	6	positive	historical	action
148.833	0.000	self	1.283	2	1.000	0.787	0.213	-0.602	0.213	-0.194	0.363	0.044	13	positive	futuristic	action	3	positive	historical	romance
163.100	0.000	self	1.840	2	1.000	0.862	0.138	0.252	0.138	-0.181	0.376	0.057	2	positive	historical	romance	7	positive	historical	action
176.317	0.000	self	1.236	2	1.000	0.733	0.267	-0.514	0.267	-0.167	0.391	0.043	10	positive	futuristic	romance	3	positive	historical	romance
187.600	0.000	self	2.866	2	1.000	1.613	-0.613	-0.502	-0.613	-0.154	0.403	0.055	9	positive	futuristic	romance	14	positive	futuristic	action
201.883	0.000	self	2.490	1	0.000	-0.532	0.532	0.532	0.475	-0.127	0.376	0.028	20	negative	historical	romance	23	negative	historical	action
213.967	0.000	self	1.692	2	1.000	0.771	0.229	-0.268	0.229	-0.118	0.367	0.019	32	negative	futuristic	action	6	positive	historical	action
226.833	0.000	self	1.020	1	1.000	0.508	0.492	0.492	-0.479	-0.106	0.380	0.006	18	negative	historical	romance	10	positive	futuristic	romance
240.250	0.000	self	1.483	1	1.000	0.740	0.260	0.260	-0.517	-0.114	0.388	0.015	7	positive	historical	action	13	positive	futuristic	action
251.550	0.000	self	1.163	2	1.000	1.297	-0.297	-0.505	-0.297	-0.102	0.401	0.002	13	positive	futuristic	action	26	negative	futuristic	romance
263.933	0.000	self	2.575	2	1.000	1.280	-0.280	-0.527	-0.280	-0.123	0.379	0.024	14	positive	futuristic	action	32	negative	futuristic	action
275.467	0.000	self	1.546	1	1.000	1.210	-0.210	-0.210	-0.500	-0.145	0.358	0.003	28	negative	futuristic	romance	10	positive	futuristic	romance
287.533	0.000	self	1.589	1	1.000	0.805	0.195	0.195	-0.479	-0.165	0.337	0.023	3	positive	historical	romance	9	positive	futuristic	romance
300.300	0.000	self	1.275	1	1.000	0.534	0.466	0.466	-0.539	-0.152	0.351	0.037	23	negative	historical	action	13	positive	futuristic	action
311.783	0.000	self	1.907	2	1.000	0.452	0.548	0.493	0.548	-0.161	0.360	0.028	22	negative	historical	action	18	negative	historical	romance
322.433	0.000	self	1.548	1	1.000	0.429	0.571	0.571	0.234	-0.168	0.367	0.035	18	negative	historical	romance	3	positive	historical	romance
332.617	0.000	self	0.986	1	1.000	0.492	0.508	0.508	-0.508	-0.175	0.375	0.042	22	negative	historical	action	10	positive	futuristic	romance
345.283	0.000	self	2.353	2	1.000	1.601	-0.601	-0.532	-0.601	-0.184	0.383	0.034	9	positive	futuristic	romance	13	positive	futuristic	action
356.233	0.000	self	1.138	1	1.000	0.480	0.520	0.520	-0.206	-0.157	0.356	0.007	20	negative	historical	romance	31	negative	futuristic	action
367.500	0.000	self	1.568	1	0.000	0.544	-0.544	-0.544	-0.215	-0.165	0.364	0.015	13	positive	futuristic	action	31	negative	futuristic	action
380.017	0.000	self	1.224	1	1.000	1.193	-0.193	-0.193	-0.205	-0.156	0.355	0.006	26	negative	futuristic	romance	31	negative	futuristic	action
393.700	0.000	self	0.887	1	1.000	0.516	0.484	0.484	-0.537	-0.176	0.335	0.026	23	negative	historical	action	14	positive	futuristic	action
406.267	0.000	self	0.824	2	1.000	0.858	0.142	-0.546	0.142	-0.184	0.344	0.018	14	positive	futuristic	action	6	positive	historical	action
417.567	0.000	self	1.004	1	1.000	0.469	0.531	0.531	0.191	-0.170	0.358	0.003	18	negative	historical	romance	2	positive	historical	romance
429.317	0.000	self	1.351	2	1.000	0.823	0.177	-0.533	0.177	-0.178	0.366	0.011	9	positive	futuristic	romance	6	positive	historical	action
442.517	0.000	self	1.555	1	1.000	0.787	0.213	0.213	-0.218	-0.164	0.380	-0.003	3	positive	historical	romance	28	negative	futuristic	romance
454.067	0.000	self	0.974	2	0.000	-0.554	0.554	0.252	0.554	-0.151	0.393	0.010	2	positive	historical	romance	20	negative	historical	romance
467.267	0.000	self	1.187	1	1.000	0.474	0.526	0.526	-0.243	-0.142	0.384	0.001	18	negative	historical	romance	31	negative	futuristic	action
479.650	0.000	self	1.673	2	1.000	1.233	-0.233	-0.550	-0.233	-0.149	0.392	0.009	13	positive	futuristic	action	28	negative	futuristic	romance
490.750	0.000	self	1.892	2	1.000	0.429	0.571	0.171	0.571	-0.170	0.371	0.030	6	positive	historical	action	18	negative	historical	romance
503.650	0.000	self	1.124	1	1.000	0.408	0.592	0.592	-0.592	-0.177	0.378	0.037	18	negative	historical	romance	13	positive	futuristic	action
515.883	0.000	self	0.991	1	1.000	0.475	0.525	0.525	-0.244	-0.184	0.385	0.044	22	negative	historical	action	31	negative	futuristic	action
527.733	0.000	self	2.211	1	1.000	0.379	0.621	0.621	0.165	-0.192	0.393	0.036	18	negative	historical	romance	7	positive	historical	action
541.667	0.000	self	1.526	1	1.000	0.757	0.243	0.243	-0.640	-0.199	0.399	0.042	3	positive	historical	romance	14	positive	futuristic	action
552.667	0.000	self	1.058	1	1.000	1.171	-0.171	-0.171	-0.653	-0.186	0.412	0.055	28	negative	futuristic	romance	14	positive	futuristic	action
563.467	0.000	self	1.067	2	1.000	0.328	0.672	-0.261	0.672	-0.205	0.392	0.075	32	negative	futuristic	action	18	negative	historical	romance
575.417	0.000	self	1.813	1	1.000	0.893	0.107	0.107	-0.529	-0.211	0.398	0.080	7	positive	historical	action	10	positive	futuristic	romance
586.700	0.000	self	1.704	1	1.000	0.848	0.152	0.152	-0.152	-0.196	0.413	0.065	7	positive	historical	action	26	negative	futuristic	romance
