onset	duration	trial_type	rt	choice	self_value1	self_value2	self_value_c
4.017	0.000	self	2.065	2	0.119	-0.325	-0.325
12.483	0.000	self	1.148	1	0.119	-0.718	0.119
21.467	0.000	self	1.551	1	-0.119	-0.325	-0.119
28.733	0.000	self	2.063	1	0.512	-0.325	0.512
36.250	0.000	self	1.466	2	-0.325	0.325	0.325
46.200	0.000	self	1.209	2	-0.119	0.325	0.325
53.500	0.000	self	0.859	2	-0.718	0.512	0.512
63.117	0.000	self	0.835	1	0.325	-0.718	0.325
71.767	0.000	self	1.074	1	0.718	-0.718	0.718
80.033	0.000	self	1.729	1	0.119	0.512	0.119
89.700	0.000	self	1.292	2	-0.512	0.325	0.325
97.683	0.000	self	1.429	1	0.512	0.119	0.512
106.950	0.000	self	1.512	2	-0.512	-0.325	-0.325
115.717	0.000	self	1.009	1	-0.119	-0.512	-0.119
122.917	0.000	self	1.675	1	0.325	-0.119	0.325
131.350	0.000	self	1.546	2	-0.119	0.119	0.119
139.667	0.000	self	0.807	1	0.718	-0.325	0.718
147.250	0.000	self	0.876	2	-0.512	0.718	0.718
156.333	0.000	self	0.827	1	0.325	0.119	0.325
163.367	0.000	self	1.037	2	-0.325	0.325	0.325
172.967	0.000	self	1.003	1	0.512	-0.718	0.512
180.183	0.000	self	1.036	1	0.512	-0.718	0.512
188.533	0.000	self	1.273	1	0.718	0.512	0.718
197.200	0.000	self	1.680	2	-0.718	0.718	0.718
204.300	0.000	self	1.033	2	-0.119	0.512	0.512
211.717	0.000	self	0.985	2	-0.119	0.718	0.718
219.950	0.000	self	1.053	2	-0.325	0.718	0.718
229.450	0.000	self	1.516	1	0.512	-0.119	0.512
