onset	duration	trial_type	rt	choice	self_value1	self_value2	self_value_c
4.017	0.000	self	1.786	2	-0.371	0.149	0.149
13.450	0.000	self	2.194	1	-0.371	-0.200	-0.371
21.033	0.000	self	1.816	2	0.371	0.149	0.149
30.683	0.000	self	2.146	2	-0.022	0.149	0.149
39.600	0.000	self	1.226	1	0.149	-0.149	0.149
48.183	0.000	self	1.029	1	0.371	-0.149	0.371
57.450	0.000	self	2.000	2	-0.200	-0.022	-0.022
64.500	0.000	self	1.955	2	-0.149	-0.200	-0.200
74.100	0.000	self	1.605	1	0.200	-0.200	0.200
83.417	0.000	self	2.976	2	-0.371	-0.022	-0.022
93.083	0.000	self	1.505	1	0.022	-0.149	0.022
101.150	0.000	self	1.557	1	-0.022	-0.371	-0.022
109.383	0.000	self	1.832	2	0.022	0.149	0.149
118.650	0.000	self	1.203	2	0.371	0.022	0.022
127.983	0.000	self	2.066	1	-0.149	0.371	-0.149
137.883	0.000	self	1.598	1	0.371	-0.371	0.371
145.683	0.000	self	1.386	1	0.200	0.149	0.200
153.567	0.000	self	1.500	1	0.022	0.200	0.022
160.967	0.000	self	1.715	1	-0.149	-0.371	-0.149
168.183	0.000	self	1.152	1	0.149	-0.149	0.149
178.117	0.000	self	2.170	2	-0.022	-0.200	-0.200
185.533	0.000	self	1.751	2	-0.022	-0.200	-0.200
193.517	0.000	self	1.702	2	0.200	-0.022	-0.022
203.417	0.000	self	1.213	1	-0.200	0.200	-0.200
210.500	0.000	self	1.207	1	0.371	-0.022	0.371
217.867	0.000	self	1.354	1	0.371	0.200	0.371
227.833	0.000	self	1.119	1	0.149	0.200	0.149
237.083	0.000	self	1.722	1	-0.022	0.371	-0.022
246.867	0.000	self	1.818	2	0.022	0.200	0.200
254.683	0.000	self	2.290	1	-0.200	-0.022	-0.200
263.867	0.000	self	1.338	2	0.200	0.022	0.022
272.533	0.000	self	1.334	2	-0.200	0.149	0.149
282.033	0.000	self	1.367	1	-0.022	-0.149	-0.022
289.767	0.000	self	2.479	1	0.200	-0.371	0.200
297.167	0.000	self	1.273	1	0.022	-0.200	0.022
305.017	0.000	self	1.095	2	-0.149	0.200	0.200
312.867	0.000	self	1.470	2	0.371	0.200	0.200
320.200	0.000	self	1.954	2	0.149	0.022	0.022
328.100	0.000	self	1.873	1	-0.149	-0.022	-0.149
336.067	0.000	self	1.471	1	0.200	-0.371	0.200
343.417	0.000	self	1.374	2	0.200	-0.022	-0.022
350.867	0.000	self	1.540	2	-0.149	-0.371	-0.371
359.667	0.000	self	1.347	2	0.149	0.371	0.371
366.683	0.000	self	1.021	2	-0.149	0.022	0.022
373.683	0.000	self	1.883	1	-0.200	0.200	-0.200
383.000	0.000	self	1.468	1	0.022	-0.149	0.022
392.333	0.000	self	1.261	1	-0.200	0.022	-0.200
401.217	0.000	self	1.396	2	-0.149	-0.200	-0.200
409.117	0.000	self	1.393	2	0.371	0.149	0.149
417.867	0.000	self	1.680	1	0.022	-0.200	0.022
425.800	0.000	self	1.984	1	0.200	0.149	0.200
435.500	0.000	self	1.553	2	-0.149	-0.022	-0.022
443.800	0.000	self	1.498	2	-0.371	0.022	0.022
451.983	0.000	self	1.163	2	-0.371	0.200	0.200
459.600	0.000	self	1.594	2	0.149	-0.200	-0.200
469.117	0.000	self	1.828	2	0.371	-0.200	-0.200
