onset	duration	trial_type	rt	choice	self_value1	self_value2	self_value_c
4.017	0.000	self	1.675	2	0.425	-0.148	-0.148
11.650	0.000	self	1.803	2	-0.425	0.425	0.425
20.067	0.000	self	1.381	1	0.148	0.425	0.148
27.267	0.000	self	1.988	1	0.425	0.148	0.425
35.150	0.000	self	1.731	1	0.148	-0.425	0.148
42.533	0.000	self	1.624	1	0.148	-0.148	0.148
50.350	0.000	self	1.458	1	0.721	-0.148	0.721
57.450	0.000	self	1.570	2	-0.425	-0.148	-0.148
65.400	0.000	self	1.457	1	0.148	-0.425	0.148
72.983	0.000	self	1.470	2	0.425	0.721	0.721
81.683	0.000	self	1.537	1	0.425	-0.148	0.425
90.883	0.000	self	2.034	1	-0.425	-0.148	-0.425
100.850	0.000	self	1.691	1	-0.148	-0.148	-0.148
108.350	0.000	self	1.651	1	0.721	0.148	0.721
118.183	0.000	self	1.129	1	0.721	0.425	0.721
126.650	0.000	self	1.615	2	-0.425	0.148	0.148
135.067	0.000	self	1.656	2	0.148	0.721	0.721
143.967	0.000	self	1.356	2	-0.721	0.148	0.148
151.567	0.000	self	1.106	1	0.721	-0.425	0.721
158.700	0.000	self	1.547	1	0.148	0.148	0.148
167.683	0.000	self	1.240	2	-0.148	0.425	0.425
177.450	0.000	self	0.930	1	0.148	-0.425	0.148
187.383	0.000	self	1.869	2	0.721	0.148	0.148
195.683	0.000	self	1.291	2	-0.148	0.425	0.425
204.683	0.000	self	1.449	1	0.148	-0.721	0.148
214.533	0.000	self	1.104	2	-0.425	0.148	0.148
221.750	0.000	self	1.875	1	-0.148	-0.425	-0.148
229.917	0.000	self	1.257	1	0.148	-0.148	0.148
238.483	0.000	self	1.589	2	-0.425	-0.148	-0.148
247.400	0.000	self	1.152	1	-0.148	-0.721	-0.148
256.500	0.000	self	1.154	1	0.721	-0.148	0.721
266.317	0.000	self	1.419	1	-0.148	-0.425	-0.148
273.467	0.000	self	1.496	1	-0.148	-0.721	-0.148
280.817	0.000	self	1.658	1	-0.148	-0.425	-0.148
289.450	0.000	self	1.475	1	0.148	-0.148	0.148
297.333	0.000	self	1.302	2	-0.721	0.148	0.148
304.483	0.000	self	1.937	2	0.148	-0.148	-0.148
311.717	0.000	self	1.002	1	0.148	-0.148	0.148
320.817	0.000	self	1.417	1	-0.148	-0.148	-0.148
328.517	0.000	self	1.212	1	0.148	-0.721	0.148
337.500	0.000	self	1.327	2	-0.148	0.721	0.721
345.750	0.000	self	1.241	1	0.425	-0.425	0.425
354.517	0.000	self	1.059	1	0.721	-0.425	0.721
364.433	0.000	self	0.925	1	-0.148	-0.148	-0.148
374.250	0.000	self	1.319	1	0.425	0.148	0.425
383.817	0.000	self	1.426	2	-0.721	0.148	0.148
391.483	0.000	self	1.297	1	0.148	-0.721	0.148
401.367	0.000	self	0.878	1	0.148	0.148	0.148
408.700	0.000	self	1.495	2	-0.148	0.148	0.148
417.933	0.000	self	1.263	1	0.425	-0.148	0.425
425.217	0.000	self	1.943	2	-0.425	-0.148	-0.148
432.733	0.000	self	1.198	1	0.425	-0.148	0.425
440.167	0.000	self	1.389	2	-0.721	-0.148	-0.148
447.250	0.000	self	1.021	2	-0.425	0.425	0.425
454.700	0.000	self	1.228	1	0.425	0.721	0.425
461.833	0.000	self	1.836	1	-0.425	-0.721	-0.425
